,1,6,24,96
SYMBOL:VASP,9.807,9.877,9.642000000000001,10.312999999999999
SYMBOL:MAP3K7,10.402000000000001,10.853,10.418,10.169
SYMBOL:BCR,10.975999999999999,10.946,10.914000000000001,11.513
SYMBOL:BTK,10.116,10.36,9.682,9.953
SYMBOL:EZR,10.445,10.447000000000001,10.489,9.894
SYMBOL:NFKBIE,12.49,11.988,11.946,12.417
SYMBOL:VAV1,10.597000000000001,10.42,10.742,10.089
SYMBOL:HSP90AB1,11.824000000000002,12.052999999999999,12.142999999999999,12.5
SYMBOL:EGFR,10.272,10.299000000000001,9.852,9.757
SYMBOL:APP,11.275,10.93,11.445,10.855
SYMBOL:STMN1,10.575999999999999,10.295,10.402999999999999,9.914
SYMBOL:PRKD1,10.193,10.16,10.254000000000001,9.648
SYMBOL:FOXO1,10.383,10.314,9.968,9.797
SYMBOL:LCP2,10.119,10.16,9.656,9.657
SYMBOL:DAB1,10.311,10.984000000000002,10.542,10.595999999999998
SYMBOL:FOXO1,10.618,10.540999999999999,10.066,10.138
SYMBOL:TOP2A,10.192,10.116,10.251,9.64
SYMBOL:ITGB1,10.302,10.414000000000001,10.681,10.009
SYMBOL:NOS3,10.164,9.884,9.656,9.533
SYMBOL:GABRB1,10.19,9.815,10.001,9.54
SYMBOL:ATF2,11.23,11.136,10.668,10.762
SYMBOL:PPP1CA,10.664000000000001,10.567,10.867,10.211
SYMBOL:HCK,10.963,11.347000000000001,11.482000000000001,11.592
SYMBOL:BMX,10.337,10.205,10.191,9.713
SYMBOL:MAP3K7,10.362,10.11,10.043,9.699
SYMBOL:AKT1,10.167,10.007,10.349,9.706
SYMBOL:MTOR,10.136000000000001,9.965,9.877,9.494
SYMBOL:ATF2,9.891,9.785,9.552,9.28
SYMBOL:MAPK14,12.94,12.455,12.485,12.937999999999999
SYMBOL:BAX,10.068999999999999,9.913,9.685,9.45
SYMBOL:PDGFRA,10.618,10.696,10.882,10.243
SYMBOL:BCL2,9.842,9.611,9.571,9.193999999999999
SYMBOL:EGFR,10.07,9.856,9.89,9.437000000000001
SYMBOL:PAK2,10.103,9.799,9.916,9.467
SYMBOL:AKT1,10.415,10.785,10.727,10.218
SYMBOL:ALK,10.465,10.205,10.296,9.833
SYMBOL:CALM1,10.156,10.386,10.76,10.242
SYMBOL:BCL2L1,10.139,9.842,10.06,9.543
SYMBOL:BAX,9.545,9.371,9.392000000000001,8.926
SYMBOL:AKT1,10.365,10.152999999999999,10.187999999999999,9.736
SYMBOL:GRIN2B,11.040999999999999,11.13,10.556,11.075999999999999
SYMBOL:STAT1,9.523,9.352,9.203,8.897
SYMBOL:PEA15,10.484000000000002,10.137,10.134,9.835
SYMBOL:EFNB1,11.57,12.137,11.95,11.642999999999999
SYMBOL:PRKDC,10.213,10.193999999999999,10.144,9.657
SYMBOL:PDGFRB,10.987,10.664000000000001,10.45,10.991
SYMBOL:SYT1,10.112,10.133,9.911,9.562999999999999
SYMBOL:IFNAR1,9.982999999999999,9.461,9.761000000000001,9.426
SYMBOL:RPS6KB1,10.004,9.756,9.775,9.368
SYMBOL:MAPK14,10.26,10.277999999999999,9.871,9.767000000000001
SYMBOL:PRKCD,10.877,10.923,10.704,10.344000000000001
SYMBOL:STK11,10.164,10.048,9.831,9.567
SYMBOL:PRKCZ,10.440999999999999,9.959,10.176,9.845
SYMBOL:TP53,10.156,10.238999999999999,10.735999999999999,10.263
SYMBOL:BRAF,10.128,9.911,10.19,9.61
SYMBOL:HDAC4,10.191,10.115,10.021,9.604
SYMBOL:SYN1,10.380999999999998,10.435,9.857000000000001,10.204
SYMBOL:BIRC5,10.48,10.409,10.682,10.056000000000001
SYMBOL:FLNA,10.587,10.868,10.523,10.232999999999999
SYMBOL:RPS6KB1,10.413,10.216000000000001,10.334000000000001,9.826
SYMBOL:BCL2L1,11.46,11.485,10.997,11.05
SYMBOL:BRAF,10.05,9.669,9.715,9.417
SYMBOL:RACGAP1,10.267999999999999,10.33,9.857999999999999,9.844
SYMBOL:YWHAQ,9.825,9.718,9.321,9.335
SYMBOL:PRKCA,10.213,10.111,10.113,9.636000000000001
SYMBOL:EIF4EBP1,10.151,10.088,9.837,9.584
SYMBOL:IRS1,10.591,10.224,10.514000000000001,10.033
SYMBOL:ATP1A1,10.719000000000001,10.774000000000001,10.784,10.245999999999999
SYMBOL:SMAD3,9.93,9.693,9.698,9.308
SYMBOL:MAPT,14.08,14.122,13.982000000000001,14.562999999999999
SYMBOL:AR,10.075,9.729,9.568,9.497
SYMBOL:SP1,9.883,9.774,9.501,9.318
SYMBOL:NFKB2,10.033,10.539000000000001,10.023,10.377
SYMBOL:XIAP,10.658,10.367,10.49,10.05
SYMBOL:GATA1,9.978,9.827,9.646,9.381
SYMBOL:FYN,10.634,10.585999999999999,10.793,10.189
SYMBOL:CSF1R,10.252,9.954,10.035,9.634
SYMBOL:VAV2,10.637,10.686,10.825,10.231
SYMBOL:RBL2,9.798,9.671,9.722000000000001,9.231
SYMBOL:SYK,11.003,10.538,10.901,10.497
SYMBOL:IRS1,10.17,10.075,9.97,9.589
SYMBOL:PDGFRB,11.558,11.696,11.93,12.134
SYMBOL:MITF,10.931,10.511,11.085,10.689
SYMBOL:CD5,11.575999999999999,11.325,11.275,10.957
SYMBOL:PPARG,10.466,10.112,10.401,9.923
SYMBOL:AKT1,10.582,10.626,10.606,10.099
SYMBOL:PTK2,13.033,13.029000000000002,12.519,12.707
SYMBOL:PRKCQ,9.949,10.044,10.525,10.213
SYMBOL:WEE1,10.360999999999999,10.152000000000001,10.199,9.765
SYMBOL:KDR,10.083,9.913,9.949,9.502
SYMBOL:ATF1,10.534,10.075,10.402999999999999,10.017999999999999
SYMBOL:NTRK2,10.432,10.795,10.788,10.304
SYMBOL:DAB1,9.85,9.804,9.58,9.305
SYMBOL:TH,10.191,10.051,10.475,9.887
SYMBOL:MTOR,10.825999999999999,10.41,10.245999999999999,10.587
SYMBOL:CAMK4,10.107000000000001,9.891,10.013,9.54
SYMBOL:PPP1CA,9.836,10.315999999999999,10.17,9.818
