SYMBOL:HNF4A,9.914,9.609,9.297,9.214
SYMBOL:STAT1,9.523,9.352,9.203,8.897
SYMBOL:STAT3,10.512,10.407,10.377,10.258
SYMBOL:STAT3,10.136,9.967,9.811,9.603
SYMBOL:STAT4,9.925,9.549,9.43,9.17
SYMBOL:STAT5A,9.836,9.647,9.617,9.442
SYMBOL:STAT5A,13.95,13.84,13.732,14.221
SYMBOL:STAT6,10.087,9.983,9.948,9.643
SYMBOL:STAT6,12.546,12.304,12.338,12.777
SYMBOL:CREB1,10.493,10.358,10.258,10.711
SYMBOL:ATF4,10.385,10.17,10.134,9.878
SYMBOL:AKT1,10.156,10.138,10.027,9.824
SYMBOL:AKT1,10.331,10.295,10.228,10.193
SYMBOL:IRS1,10.13,10.123,9.865,9.744
SYMBOL:MET,10.181,10.211,10.08,9.982
SYMBOL:FGFR1,10.242,10.229,10.133,9.888
SYMBOL:KIT,10.676,10.515,10.456,10.381
SYMBOL:SP1,9.883,9.774,9.501,9.318
SYMBOL:BAX,10.069,9.913,9.685,9.45
SYMBOL:NOS3,10.164,9.884,9.656,9.533
SYMBOL:CDK1,10.304,10.254,10.15,9.964
SYMBOL:MAPK3,10.36,10.38,10.225,10.07
SYMBOL:MAPK3,10.163,10.062,9.948,9.645
SYMBOL:HSPB1,10.111,9.762,9.692,9.279
SYMBOL:HSPB1,10.684,10.388,10.381,10.579
SYMBOL:MAPK8,10.201,10.061,10.026,9.75
SYMBOL:MAPK8,10.288,10.203,10.155,9.816
SYMBOL:NFKB1,10.374,10.294,10.284,9.943
SYMBOL:MAPK14,12.94,12.455,12.485,12.938
SYMBOL:RELB,10.469,10.408,10.207,10.205
SYMBOL:SNCA,10.025,10.034,9.727,9.752
SYMBOL:MAPT,11.853,11.761,11.518,11.849
SYMBOL:CREB1,9.982,10.005,9.633,9.719
SYMBOL:EGFR,10.364,10.385,10.264,10.188
SYMBOL:PTK2,10.542,10.017,10.192,10.118
SYMBOL:FOXO1,10.217,10.46,10.272,10.265
SYMBOL:FOXO1,10.383,10.314,9.968,9.797
SYMBOL:FOXO1,10.618,10.541,10.066,10.138
SYMBOL:GRK2,12.203,10.576,9.985,10.36
SYMBOL:IKBKB,11.557,10.215,9.968,10.065
SYMBOL:IRS1,10.159,10.089,10.146,9.851
SYMBOL:MAPK8,10.37,10.101,10.139,9.986
SYMBOL:LAT,10.888,10.674,10.566,11.054
SYMBOL:LCK,10.366,10.288,10.122,10.922
SYMBOL:LCK,10.847,10.521,10.558,11.243
SYMBOL:MDM2,10.274,10.121,10.01,9.847
SYMBOL:MEF2D,10.369,10.441,10.114,9.688
SYMBOL:NFATC3,10.515,10.473,10.36,10.218
SYMBOL:TP53,10.329,10.322,10.39,10.084
SYMBOL:TP53,10.126,9.995,9.865,9.84
SYMBOL:RPS6KB1,9.798,9.764,9.595,9.456
SYMBOL:CASP1,10.128,10.264,10.024,10.05
SYMBOL:CASP2,9.964,9.873,9.654,9.56
SYMBOL:GRB10,9.92,9.857,9.644,9.456
SYMBOL:RACGAP1,10.268,10.33,9.858,9.844
SYMBOL:CDC37,10.246,10.234,10.004,9.999
SYMBOL:NFKBIA,10.61,10.447,10.367,10.152
SYMBOL:DUSP1,10.75,10.258,10.142,9.874
SYMBOL:NFKB2,12.543,11.541,10.163,10.719
SYMBOL:PAK1,10.309,10.153,10.411,10.033
SYMBOL:RAPGEF1,9.831,9.488,9.602,9.102
SYMBOL:MAP3K7,10.362,10.11,10.043,9.699
SYMBOL:NOS3,10.553,10.49,10.497,10.613
SYMBOL:IKBKG,10.296,10.139,10.243,10.088
SYMBOL:MTOR,10.826,10.41,10.246,10.587
SYMBOL:IGF2R,10.763,10.615,10.689,10.448
SYMBOL:PIK3R1,10.952,10.876,10.901,10.952
SYMBOL:PIK3R1,10.143,10.026,9.831,9.633
SYMBOL:RGS16,10.151,10.12,9.936,9.756
SYMBOL:ARHGEF2,10.007,9.883,9.6,9.76
SYMBOL:GRIN2A,11.14,11.081,10.803,11.273
SYMBOL:KDR,10.428,10.352,10.222,10.6
SYMBOL:VCL,11.015,10.972,10.955,11.2
SYMBOL:HGS,10.512,10.396,10.328,10.414
SYMBOL:IL10RA,10.824,11.318,11.012,11.53
SYMBOL:IL13RA1,11.877,11.854,11.678,12.446
SYMBOL:IL4R,11.348,11.018,11.124,11.478
SYMBOL:IL7R,10.603,11.648,10.354,11.666
SYMBOL:ITGB4,10.88,10.633,10.743,10.999
SYMBOL:KCNA3,11.744,11.859,11.747,12.1
SYMBOL:KCNB1,11.336,11.219,11.14,11.208
SYMBOL:CDK5,12.346,12.194,12.358,12.675
SYMBOL:STAM2,11.742,11.817,11.86,12.154
SYMBOL:AXL,10.783,10.423,10.785,10.454
SYMBOL:FER,12.708,11.609,12.631,13.115
SYMBOL:FLT3,11.142,11.217,11.001,11.334
SYMBOL:FLT3,11.418,11.599,11.759,11.881
SYMBOL:ICK,10.718,10.667,10.69,10.81
SYMBOL:BLNK,11.494,11.607,11.67,11.917
SYMBOL:PLCB3,9.825,9.72,9.433,9.406
SYMBOL:RASGRF1,10.794,10.246,10.357,10.603
SYMBOL:YWHAQ,9.825,9.718,9.321,9.335
SYMBOL:YWHAZ,12.371,12.156,11.638,12.658
SYMBOL:PFKFB2,10.003,9.95,9.757,9.544
SYMBOL:ACTA1,10.789,10.58,10.442,10.408
SYMBOL:ARAF,10.09,9.833,9.658,9.625
SYMBOL:ATRIP,12.69,12.515,12.418,12.739
SYMBOL:BAX,9.545,9.371,9.392,8.926
SYMBOL:BCL2,9.842,9.611,9.571,9.194
SYMBOL:BCL2L1,11.46,11.485,10.997,11.05
SYMBOL:BRAF,12.782,12.106,12.459,12.976
SYMBOL:BRAF,10.05,9.669,9.715,9.417
SYMBOL:CHEK2,11.032,10.844,10.744,10.831
SYMBOL:GAB1,10.05,10.063,9.865,9.973
SYMBOL:HDAC1,14.459,15.88,15.755,11.368
SYMBOL:MAPK14,10.26,10.278,9.871,9.767
SYMBOL:PRKCA,10.01,9.807,9.737,9.429
SYMBOL:PRKCE,10.132,10.048,9.87,9.819
SYMBOL:MYC,10.101,10.245,10.107,10.003
SYMBOL:ELK1,10.519,10.42,10.542,10.396
SYMBOL:ELK1,10.395,10.382,10.052,10.44
SYMBOL:MEF2A,10.07,9.959,9.841,9.771
SYMBOL:MEF2A,9.765,9.846,9.629,9.801
SYMBOL:GATA1,9.984,9.856,9.897,9.803
SYMBOL:GATA1,10.638,10.554,10.697,10.629
SYMBOL:HNF4A,10.145,10.433,10.517,10.176
SYMBOL:STAT1,10.263,10.17,10.144,10.447
SYMBOL:STAT3,10.075,10.091,10.01,10.173
SYMBOL:STAT3,10.029,10.035,10.006,9.979
SYMBOL:STAT4,9.694,9.636,9.498,9.425
SYMBOL:STAT5A,9.793,9.7,9.964,9.447
SYMBOL:STAT5A,10.079,9.863,9.944,10.381
SYMBOL:STAT6,9.957,10.006,9.905,9.78
SYMBOL:STAT6,10.778,10.826,10.612,10.717
SYMBOL:CREB1,10.385,10.263,10.351,10.155
SYMBOL:ATF4,10.122,10.075,10.228,10.25
SYMBOL:AKT1,10.32,10.38,10.277,10.32
SYMBOL:STMN1,10.231,10.191,10.186,10.003
SYMBOL:IRS1,10.304,10.291,10.304,10.287
SYMBOL:MET,10.214,10.093,9.961,10.063
SYMBOL:FGFR1,10.511,10.486,10.399,10.346
SYMBOL:KIT,11.8,11.837,11.904,12.291
SYMBOL:SP1,10.203,10.088,10.018,10.007
SYMBOL:BRCA1,11.748,11.605,11.835,12.396
SYMBOL:NOS3,9.841,9.903,9.714,9.549
SYMBOL:CDK1,10.847,11.183,11.135,11.13
SYMBOL:MAPK3,10.081,10.099,10.142,10.207
SYMBOL:MAPK3,9.932,9.787,9.726,9.723
SYMBOL:HSPB1,10.331,10.103,10.084,10.197
SYMBOL:HSPB1,10.095,10.123,10.073,10.245
SYMBOL:MAPK8,10.053,10.073,9.996,9.786
SYMBOL:MAPK8,10.312,10.273,10.451,10.368
SYMBOL:NFKB1,10.222,10.289,10.234,10.047
SYMBOL:MAPK14,9.83,9.724,9.603,9.531
SYMBOL:MAPK14,9.867,10.189,10.031,10.106
SYMBOL:RELB,10.087,10.275,10.033,10.27
SYMBOL:PTEN,10.578,10.535,10.344,10.547
SYMBOL:PTEN,11.2,11.278,11.065,11.415
SYMBOL:NBN,10.928,11.064,10.853,11.05
SYMBOL:BCL2,10.299,10.107,10.012,9.722
SYMBOL:BCL2,10.073,9.799,9.69,9.607
SYMBOL:RELA,10.434,10.376,10.433,10.384
SYMBOL:BAD,10.361,10.213,9.982,10.008
SYMBOL:BAD,10.035,9.916,9.851,9.747
SYMBOL:BAD,10.076,9.916,9.798,9.533
SYMBOL:ESR1,9.703,9.646,9.511,9.306
SYMBOL:ESR1,12.534,12.821,12.447,12.787
SYMBOL:ESR1,9.808,9.696,9.494,9.396
SYMBOL:ESR1,9.796,9.671,9.629,9.318
SYMBOL:PGR,9.994,9.754,9.622,9.772
SYMBOL:ERBB2,9.828,9.802,9.693,9.327
SYMBOL:ERBB2,10.64,10.546,10.498,10.639
SYMBOL:ERBB2,10.187,10.098,9.96,9.965
SYMBOL:EGFR,11.636,11.395,11.088,10.875
SYMBOL:EGFR,9.849,9.741,9.697,9.649
SYMBOL:GJA1,11.101,11.133,11.085,11.448
SYMBOL:DAB1,9.85,9.804,9.58,9.305
SYMBOL:RELA,10.111,10.081,10.072,9.905
SYMBOL:GRIA1,14.856,14.71,14.461,15.044
SYMBOL:GRIA1,10.405,10.284,10.361,10.137
SYMBOL:HSF1,10.202,10.102,10.056,9.923
SYMBOL:EGFR,10.781,10.644,10.598,10.715
SYMBOL:MARCKS,10.099,10.017,9.922,9.749
SYMBOL:NF2,9.918,9.763,9.631,9.355
SYMBOL:SYN1,10.08,9.894,9.914,9.597
SYMBOL:H2AFX,12.235,11.957,12.033,11.88
SYMBOL:RPS6KB1,10.097,9.923,9.924,9.619
SYMBOL:MAPT,10.359,10.135,10.3,9.985
SYMBOL:CTTN,9.738,9.573,9.543,9.166
SYMBOL:CTTN,10.556,10.43,10.458,10.172
SYMBOL:CREB1,9.961,9.772,9.803,9.429
SYMBOL:DAB1,10.021,9.868,9.794,9.677
SYMBOL:PPP1R1B,11.336,10.94,10.794,11.106
SYMBOL:DOK1,9.857,9.847,9.635,9.839
SYMBOL:RPS6KB1,9.765,9.818,9.585,9.88
SYMBOL:RPS6KB1,10.276,10.278,10.012,9.821
SYMBOL:RPS6KB1,10.224,10.07,10.373,9.9
SYMBOL:RPS6KA1,11.041,10.637,11.18,10.083
SYMBOL:RPS6KA1,10.003,10.238,10.258,9.828
SYMBOL:RPS6KA1,10.217,10.484,10.609,10.754
SYMBOL:PAK1,10.131,10.526,10.028,10.389
SYMBOL:PAK1,10.063,10.091,9.841,10.026
SYMBOL:PAK1,10.561,10.467,10.543,10.386
SYMBOL:PEA15,10.16,10.017,10.173,9.834
SYMBOL:PRKACA,10.137,9.97,9.92,9.71
SYMBOL:PPP2CA,10.035,10.079,10.123,9.953
SYMBOL:RAF1,10.041,9.94,10.042,9.668
SYMBOL:RAF1,10.039,9.994,10.168,9.865
SYMBOL:RYR2,10.562,10.32,10.25,9.819
SYMBOL:SYK,10.316,10.109,10.181,9.78
SYMBOL:SYN1,10.381,10.435,9.857,10.204
SYMBOL:TSC2,10.598,9.898,9.967,9.67
SYMBOL:TSC2,10.09,9.682,9.763,9.54
SYMBOL:VAV2,10.716,10.724,9.865,9.975
SYMBOL:CTNNB1,10.58,10.55,10.571,10.312
SYMBOL:CREB1,10.568,10.403,10.48,10.159
SYMBOL:EZR,10.204,10.6,10.202,10.234
SYMBOL:TP53,10.142,10.082,10.165,9.975
SYMBOL:TP53,10.117,10.329,10.316,9.906
SYMBOL:RB1,10.397,10.285,10.428,10.108
SYMBOL:SRF,10.339,10.195,10.336,10.072
SYMBOL:NTRK1,10.621,10.72,10.656,10.526
SYMBOL:NTRK1,9.962,9.711,9.807,9.404
SYMBOL:ABL1,10.334,10.064,10.148,10.474
SYMBOL:BRAF,10.418,10.322,10.846,10.366
SYMBOL:CAMK2B,10.425,10.263,10.355,10.122
SYMBOL:MAP3K1,10.52,10.358,10.435,10.008
SYMBOL:MAP2K3,10.098,9.898,9.886,9.33
SYMBOL:MAP2K7,10.463,10.217,10.542,10.13
SYMBOL:MAP2K7,10.567,10.521,10.744,10.611
SYMBOL:RPS6KA5,10.089,11.075,9.951,10.026
SYMBOL:RPS6KA4,10.519,10.278,10.392,10.437
SYMBOL:CDH5,13.329,12.762,13.499,14.199
SYMBOL:WWOX,10.885,10.718,10.938,10.98
SYMBOL:CLDN3,10.715,10.611,10.73,10.74
SYMBOL:CLDN6,10.86,10.77,10.874,10.815
SYMBOL:CLDN7,11.117,11.03,11.132,11.29
SYMBOL:PLD2,10.964,10.943,10.851,11.104
SYMBOL:PRKAA1,10.473,10.378,10.36,10.362
SYMBOL:MAP2K6,11.212,11.19,11.158,11.434
SYMBOL:MAPK14,9.977,9.698,9.83,9.502
SYMBOL:CTNNB1,10.24,9.911,10.086,9.671
SYMBOL:RPS6KB1,10.652,10.455,10.447,11.123
SYMBOL:GSK3A,10.131,9.889,9.911,9.731
SYMBOL:CASP8,10.596,10.419,10.494,10.103
SYMBOL:CDC25B,10.625,10.371,10.438,10.356
SYMBOL:CCNB1,11.803,11.286,11.533,11.354
SYMBOL:CCNE1,10.749,10.66,10.706,10.785
SYMBOL:KSR1,10.318,10.086,10.226,9.866
SYMBOL:PLCB3,10.401,10.279,10.194,9.94
SYMBOL:STAT5B,10.272,10.242,10.249,10.109
SYMBOL:PRKCA,10.012,10.139,9.866,9.818
SYMBOL:PRKCZ,10.112,10.062,9.914,9.6
SYMBOL:PRKD1,10.193,10.16,10.254,9.648
SYMBOL:PRKD1,10.948,10.587,10.879,10.579
SYMBOL:PRKD2,9.855,9.558,9.78,9.306
SYMBOL:RB1,10.655,10.611,10.751,10.388
SYMBOL:RBL2,9.798,9.671,9.722,9.231
SYMBOL:AKT1,10.539,10.491,10.484,10.493
SYMBOL:BAD,10.108,10.102,9.913,9.871
SYMBOL:BAD,10.56,10.448,10.513,10.594
SYMBOL:CALM1,11.641,10.19,10.088,9.973
SYMBOL:CAMK1,10.402,10.262,10.34,10.468
SYMBOL:CAMK4,10.107,9.891,10.013,9.54
SYMBOL:CASP9,11.9,10.685,11.28,10.274
SYMBOL:CASP9,10.868,9.913,9.935,9.398
SYMBOL:CASP9,13.572,13.348,13.423,13.841
SYMBOL:CASP3,9.608,9.468,9.554,9.233
SYMBOL:CAT,11.871,11.361,11.582,11.655
SYMBOL:CTNNB1,10.059,10.056,9.967,9.932
SYMBOL:FOS,10.298,10.536,10.325,10.345
SYMBOL:GAB2,9.962,10.109,9.981,9.742
SYMBOL:MAPKAPK2,10.341,10.266,10.272,10.114
SYMBOL:MEF2C,10.2,10.134,10.122,9.74
SYMBOL:DUSP1,10.984,10.911,11.017,11.286
SYMBOL:NFATC4,10.006,9.929,9.779,9.805
SYMBOL:SREBF1,10.251,10.221,10.255,9.92
SYMBOL:TSC2,10.6,10.469,10.555,10.586
SYMBOL:MAP2K4,11.07,10.817,10.923,11.223
SYMBOL:EFNB1,10.586,10.318,10.387,10.439
SYMBOL:BCAR1,10.324,10.31,10.394,10.107
SYMBOL:PLCG1,10.036,10.422,9.716,10.048
SYMBOL:PLCG1,10.357,10.263,10.235,10.096
SYMBOL:LYN,13.907,13.889,14.218,14.574
SYMBOL:PLCG2,10.496,10.205,10.423,9.643
SYMBOL:ATF1,10.534,10.075,10.403,10.018
SYMBOL:CD19,10.38,10.353,10.38,10.317
SYMBOL:ATP1A1,9.983,9.869,9.844,9.484
SYMBOL:FGFR1,10.31,10.044,10.283,10.349
SYMBOL:AKT1,9.821,9.992,9.631,9.914
SYMBOL:PTEN,10.783,10.804,10.804,10.724
SYMBOL:NBN,10.366,10.746,10.618,10.214
SYMBOL:TP73,10.549,10.642,10.692,10.599
SYMBOL:PTK2,10.211,10.366,10.327,10.362
SYMBOL:ITGB3,10.482,10.611,10.566,10.778
SYMBOL:CHEK2,10.192,10.253,10.124,10.221
SYMBOL:PTEN,9.95,9.942,9.461,9.897
SYMBOL:EZR,10.027,10.063,10.032,10.128
SYMBOL:BCL2,10.465,10.468,10.477,10.515
SYMBOL:BCL2,10.151,10.329,10.052,10.155
SYMBOL:BCL2L1,10.9,11.107,10.877,11.122
SYMBOL:BAD,10.525,10.611,11.071,10.815
SYMBOL:BAD,10.107,10.034,9.903,9.86
SYMBOL:BAD,10.374,10.435,10.526,10.464
SYMBOL:ESR1,10.46,10.711,10.465,10.647
SYMBOL:ESR1,10.125,10.192,10.461,10.415
SYMBOL:ESR1,10.015,10.123,9.897,10.201
SYMBOL:ESR1,10.426,10.511,10.434,10.592
