,0.5,1,3,6,24
SYMBOL:JUN,10.453,10.645999999999999,10.18,10.873,9.937999999999999
SYMBOL:YWHAZ,10.674000000000001,11.282,10.67,10.929,10.282
SYMBOL:GRK1,10.363,10.722999999999999,11.129000000000001,11.244000000000002,10.595999999999998
SYMBOL:EZR,10.527999999999999,10.392999999999999,10.113999999999999,11.114,10.433
SYMBOL:CCNB1,10.196,10.375,10.818,11.027999999999999,10.262
SYMBOL:FCGR2B,11.982000000000001,11.375,11.363,11.378,10.959000000000001
SYMBOL:BTK,10.375,10.470999999999998,10.65,11.092,11.181
SYMBOL:HIST1H3A,10.199,10.12,10.713,11.0,10.537
SYMBOL:BIRC5,10.13,10.274000000000001,10.866,10.86,10.211
SYMBOL:HDAC1,11.134,10.947000000000001,10.331,10.484000000000002,11.073
SYMBOL:IL4R,10.241,10.522,10.630999999999998,10.755999999999998,9.853
SYMBOL:RYR2,10.273,9.895,9.836,10.658,10.482999999999999
SYMBOL:GRIN2B,10.979000000000001,10.661,11.1,11.325,10.425
SYMBOL:MET,10.494000000000002,10.415,11.120999999999999,11.193,10.697000000000001
SYMBOL:MAPK14,13.466,12.991,12.529000000000002,12.707,13.014000000000001
SYMBOL:MTOR,10.045,9.908999999999999,10.76,9.996,10.405999999999999
SYMBOL:MAPKAPK2,10.389000000000001,10.616,11.335999999999999,10.842,10.907
SYMBOL:H2AFX,11.462,10.494000000000002,10.912,10.772,10.949000000000002
SYMBOL:MAPK3,10.499,10.437000000000001,9.915,9.666,10.203
SYMBOL:TP53,10.616,10.657,10.657,11.322000000000001,10.380999999999998
SYMBOL:RPS6KB1,10.077,10.269,10.332,10.342,9.505
SYMBOL:MAP3K7,10.533,10.857000000000001,10.027000000000001,10.685,10.16
SYMBOL:BAD,10.780999999999999,10.107999999999999,10.206,9.817,10.199
SYMBOL:PLCG1,10.405,9.747,9.703,10.335,9.754
SYMBOL:KSR1,10.244000000000002,10.389000000000001,10.939,11.057,10.605
SYMBOL:GRK2,10.822000000000001,10.659,10.294,11.029000000000002,10.215
SYMBOL:CAMK2A,10.368,10.75,11.171,11.213,10.857999999999999
SYMBOL:MAP2K1,10.387,10.602,10.732999999999999,10.931,11.289000000000001
SYMBOL:PECAM1,13.213,13.625,13.792,13.785,14.16
SYMBOL:CHEK2,10.121,10.267999999999999,10.940999999999999,10.360999999999999,10.107000000000001
SYMBOL:PTEN,10.347999999999999,10.323,10.34,11.118,10.425
SYMBOL:CREB1,10.609000000000002,10.588,11.234000000000002,10.485999999999999,10.347000000000001
SYMBOL:EGFR,10.567,11.083,10.156,10.508,10.395999999999999
SYMBOL:PTK2,12.737,12.488,12.508,12.16,13.081
SYMBOL:NFKBIA,13.618,13.512,12.806,13.383,13.032
SYMBOL:SHC1,10.627,10.526,10.999,11.206,10.390999999999998
SYMBOL:VAV2,10.682,10.784,10.302999999999999,10.703,9.982000000000001
SYMBOL:MAPT,14.207,13.797,13.732999999999999,13.305,14.008
SYMBOL:MUC1,9.873,9.935,10.017000000000001,9.829,10.652999999999999
SYMBOL:CTNNB1,10.092,10.764000000000001,10.157,9.854,10.129
SYMBOL:DAB1,9.82,9.785,10.56,9.79,9.834
SYMBOL:SRC,13.542,13.02,12.722000000000001,12.720999999999998,13.073
SYMBOL:JUN,10.966,10.89,10.800999999999998,11.078,10.224
SYMBOL:PTK2,11.317,10.657,10.796,10.902000000000001,10.417
SYMBOL:SHC1,11.343,11.661,10.933,11.731,11.182
SYMBOL:ESR1,12.732999999999999,12.38,11.882,12.058,12.415
SYMBOL:GRIA1,11.249,10.546,10.519,10.783,10.437000000000001
SYMBOL:IKBKG,12.139000000000001,11.991,11.873,12.669,11.890999999999998
SYMBOL:CASP9,10.497,10.407,10.924000000000001,11.07,11.099
SYMBOL:KRT18,10.21,10.231,10.63,11.001,10.55
SYMBOL:ITGB1,11.222000000000001,10.464,10.911,10.577,10.497
SYMBOL:NTRK1,10.843,10.823,10.615,10.052999999999999,10.46
SYMBOL:H2AFX,11.515,11.475999999999999,11.675999999999998,11.024000000000001,11.902999999999999
SYMBOL:TSC2,12.038,11.397,12.093,11.594000000000001,11.48
SYMBOL:AKT1,11.005,10.302999999999999,10.35,10.366,10.185
SYMBOL:IKBKB,10.390999999999998,10.460999999999999,10.187999999999999,10.922,10.097999999999999
SYMBOL:IL3RA,10.421,11.019,10.251,10.236,10.408
SYMBOL:ACACA,10.283,10.413,10.918,11.030999999999999,10.64
SYMBOL:PRKCB,10.046,10.146,10.828,10.447000000000001,10.163
SYMBOL:RELA,11.206,11.567,11.687999999999999,12.056,11.838
SYMBOL:RELA,9.937000000000001,10.283,10.421,10.687000000000001,9.96
SYMBOL:IL13RA1,12.405,12.304,11.607999999999999,12.175,11.959000000000001
SYMBOL:STAM2,9.535,9.667,10.222000000000001,10.027999999999999,9.511000000000001
SYMBOL:CCNB1,11.795,11.189,11.025,11.433,11.078
SYMBOL:PAK2,10.017999999999999,10.305,10.76,10.597999999999999,10.109
SYMBOL:E2F1,10.681,10.599,11.014000000000001,11.105,10.338
SYMBOL:PAK3,10.02,10.102,10.748,10.462,10.077
SYMBOL:EGFR,10.05,10.003,10.186,10.782,10.187000000000001
SYMBOL:FLT3,11.16,11.050999999999998,11.609000000000002,10.966,10.770999999999999
SYMBOL:TNK2,11.043,10.812000000000001,10.92,10.992,10.273
SYMBOL:INSR,11.284,10.458,10.828,10.839,10.619000000000002
SYMBOL:RAF1,10.033,10.149,10.517000000000001,10.257,10.804
SYMBOL:IRS1,10.092,10.249,9.488,10.099,10.203
SYMBOL:GSK3A,10.219,10.347999999999999,9.929,10.079,9.55
SYMBOL:TP53,10.864,11.21,10.683,11.477,11.113
SYMBOL:MITF,10.787,11.044,10.429,11.081,10.474
SYMBOL:NFKBIA,10.142000000000001,10.435,10.559000000000001,10.96,10.329
SYMBOL:ITGB3,10.109,10.124,10.817,10.288,10.099
SYMBOL:DAPP1,10.514000000000001,10.578,9.981,10.577,10.02
SYMBOL:CTNNB1,9.886000000000001,10.259,10.71,10.452,10.201
SYMBOL:NFATC3,9.875,10.172,10.696,10.43,10.345999999999998
SYMBOL:PEA15,10.282,10.382,10.780999999999999,10.915,10.929
SYMBOL:CHUK,11.206,10.511,10.569,10.577,10.47
SYMBOL:AURKA,10.841,10.792,11.495,11.331,11.148
SYMBOL:FOXO1,10.3,10.394,10.597999999999999,10.73,9.941
SYMBOL:CASP2,10.013,10.311,10.674000000000001,10.162,9.894
SYMBOL:IL2RA,10.149,10.367,10.76,10.905,10.497
SYMBOL:MYL9,10.99,11.547,10.843,10.877,10.831
SYMBOL:KCNIP3,11.979000000000001,11.597000000000001,11.477,11.171,11.367
SYMBOL:TGFBR2,12.376,12.499,12.132,12.745999999999999,11.985999999999999
SYMBOL:SHC1,12.42,12.708,11.975,12.215,12.614
SYMBOL:CCND2,9.702,9.869,10.379000000000001,10.106,9.671
SYMBOL:FOS,10.548,10.526,10.901,10.959000000000001,10.237
SYMBOL:DNM1,14.069,14.253,14.190999999999999,14.58,14.786
SYMBOL:KDR,13.698,13.602,13.068,13.095999999999998,13.545
SYMBOL:LAT,11.21,11.162,11.883,11.228,11.397
SYMBOL:RAF1,10.224,10.682,10.818,10.537,10.121
SYMBOL:SMC1A,10.504000000000001,10.392999999999999,10.606,9.843,10.262
SYMBOL:WEE1,9.392000000000001,9.402000000000001,10.048,9.812999999999999,9.443
SYMBOL:CHEK2,10.057,10.005,10.732000000000001,10.286,10.111
SYMBOL:PDGFRA,10.399000000000001,10.427,10.805,10.06,10.715
SYMBOL:KIT,10.383,10.342,11.077,10.682,10.614
SYMBOL:GRIN1,9.801,9.552999999999999,9.466000000000001,9.002,9.574
SYMBOL:RPS6KB1,10.044,10.389000000000001,10.812000000000001,10.547,10.662
SYMBOL:CDK1,9.97,10.36,10.554,10.761,10.482999999999999
SYMBOL:CCND3,10.22,10.478,10.839,10.914000000000001,10.8
SYMBOL:GAP43,11.227,11.562999999999999,11.994000000000002,11.654000000000002,11.839
SYMBOL:SHC1,9.91,10.386,10.571,10.652000000000001,10.275
SYMBOL:APP,10.517999999999999,10.472000000000001,10.595,10.948,10.134
SYMBOL:GRK2,10.308,10.352,10.538,10.946,10.862
SYMBOL:CDC25A,10.221,10.283,10.82,10.844000000000001,10.522
