symbol,1,6,24,96
SYMBOL:ERBB3,9.949,10.355,10.269,10.28
SYMBOL:ERBB4,11.826,11.653,11.911,11.699
SYMBOL:PRKAR2B,10.181,10.559,10.309,10.737
SYMBOL:SMAD1,9.989,10.674,10.729,10.448
SYMBOL:SMAD2,9.566,10.038,9.895,10.117
SYMBOL:SMAD2,9.944,10.407,10.25,10.235
SYMBOL:SMAD3,11.107,11.166,11.228,11.237
SYMBOL:SMAD3,10.039,10.372,10.157,10.28
SYMBOL:SMAD3,9.781,10.251,10.09,10.113
SYMBOL:SMAD3,10.076,10.504,10.394,10.313
SYMBOL:SMAD3,11.112,11.084,11.4,11.245
SYMBOL:STAT5A,9.918,10.083,10.163,10.214
SYMBOL:KCNIP3,11.784,11.432,11.945,11.462
SYMBOL:GRIN2B,10.823,11.025,11.011,10.957
SYMBOL:PECAM1,10.311,10.768,10.658,10.764
SYMBOL:PTPRK,10.683,11.296,10.962,10.775
SYMBOL:GTF2I,10.577,10.996,10.786,10.752
SYMBOL:TNK2,10.266,10.698,10.571,10.317
SYMBOL:ALK,11.004,11.317,11.219,11.036
SYMBOL:ALK,10.985,11.234,11.231,11.099
SYMBOL:BLNK,10.933,11.34,11.331,11.012
SYMBOL:BMX,10.352,11.023,11.108,10.966
SYMBOL:Pim1,9.988,10.329,10.297,10.226
SYMBOL:PLD1,10.388,10.575,10.445,10.535
SYMBOL:BCR,10.615,11.031,10.852,10.966
SYMBOL:PTK6,10.724,11.022,10.915,10.726
SYMBOL:ADD1,10.171,10.335,10.271,10.302
SYMBOL:CD5,11.76,11.847,11.452,11.416
SYMBOL:CSF1R,11.104,11.258,11.289,11.431
SYMBOL:DAPP1,10.142,10.27,9.882,10.664
SYMBOL:DDX5,10.933,11.355,11.05,11.158
SYMBOL:HCK,10.937,10.924,11.535,11.064
SYMBOL:RAF1,9.82,10.067,10.057,10.021
SYMBOL:CCNB1,10.568,10.689,10.531,10.176
SYMBOL:CCNE1,13.742,13.646,14.026,13.471
SYMBOL:EIF4G1,11.119,11.32,11.313,11.247
SYMBOL:IRS1,9.481,9.917,9.723,9.92
SYMBOL:LAT,10.16,10.729,10.59,10.407
SYMBOL:STK11,9.841,10.054,9.977,10.027
SYMBOL:STK11,10.432,10.226,9.975,10.129
SYMBOL:MAP2K1,13.113,11.452,11.198,11.59
SYMBOL:MAP2K1,11.235,11.176,11.306,11.014
SYMBOL:RPS6KA5,13.026,12.858,13.057,12.677
SYMBOL:RPS6KA5,10.48,10.672,10.512,10.99
SYMBOL:MTOR,9.748,10.184,10.105,10.281
SYMBOL:PAK4,9.531,10.123,9.995,10.265
SYMBOL:PRKCA,10.032,10.08,10.327,10.195
SYMBOL:PRKCD,9.587,9.862,9.852,9.99
SYMBOL:CCNE2,10.033,10.308,10.146,10.433
SYMBOL:PRKD1,9.822,10.119,10.193,10.252
SYMBOL:PRKD1,9.326,9.675,9.844,9.761
SYMBOL:NFKB1,12.016,12.117,12.373,12.156
SYMBOL:NFKB1,9.931,10.26,10.266,10.255
SYMBOL:NFKB1,10,10.032,10.149,10.279
SYMBOL:REL,9.594,10.147,10.394,10.546
SYMBOL:JUN,9.605,9.954,10.088,9.909
