SYMBOL:STMN1,10.205,10.35,10.431,10.384,10.298
SYMBOL:PDGFRB,11.301,11.187,11.327,10.76,10.975
SYMBOL:MET,10.037,10.121,10.13,9.974,10.149
SYMBOL:EGFR,10.274,10.39,10.48,10.432,10.437
SYMBOL:EGFR,12.501,12.423,12.683,12.295,13.011
SYMBOL:IRS1,10.064,10.077,10.119,9.972,10.22
SYMBOL:IRS1,12.927,12.891,12.968,12.105,13.053
SYMBOL:RPS6,10.051,10.082,10.211,10.152,10.26
SYMBOL:EIF4E,10.146,10.161,10.126,10.041,10.229
SYMBOL:STMN1,10.275,10.455,10.075,10.097,10.09
SYMBOL:DNM1,10.692,10.797,10.474,10.703,10.252
SYMBOL:E2F1,10.681,10.599,11.014,11.105,10.338
SYMBOL:PTK2,10.237,10.514,10.671,10.572,10.222
SYMBOL:FOS,10.548,10.526,10.901,10.959,10.237
SYMBOL:ARHGAP35,10.558,10.675,10.885,10.883,10.359
SYMBOL:HDAC5,10.204,10.441,11.168,11.09,10.484
SYMBOL:LIPE,10.619,10.183,10.49,10.741,10.054
SYMBOL:NFKBIB,10.229,10.414,10.517,10.607,10.036
SYMBOL:CHUK,10.298,10.337,10.814,10.632,10.441
SYMBOL:IKBKB,10.391,10.461,10.188,10.922,10.098
SYMBOL:IKBKG,10.197,10.487,10.145,10.139,10.366
SYMBOL:IRS1,9.874,9.903,10.406,10.094,10.059
SYMBOL:IRS1,9.97,10.199,10.374,10.318,10.308
SYMBOL:AKT1S1,10.702,10.73,10.905,10.811,10.816
SYMBOL:ARRB1,10.355,10.343,10.655,10.482,10.566
SYMBOL:BCL2,10.447,10.614,11.01,11.001,10.862
SYMBOL:BID,10.505,10.122,10.332,10.722,10.382
SYMBOL:CD247,10.812,10.606,10.86,10.511,10.485
SYMBOL:CDK1,9.903,9.975,9.683,9.821,9.892
SYMBOL:PTK2,11.317,10.657,10.796,10.902,10.417
SYMBOL:FOSB,10.276,10.427,10.579,10.742,10.153
SYMBOL:GRK1,10.363,10.723,11.129,11.244,10.596
SYMBOL:HDAC3,10.631,10.788,10.766,11.079,10.586
SYMBOL:HDAC6,10.972,10.923,11.326,10.915,10.797
SYMBOL:ERBB3,10.165,10.303,10.669,10.404,10.284
SYMBOL:ERBB3,10.577,10.466,10.752,10.578,10.368
SYMBOL:ERBB4,11.737,11.594,11.51,11.384,11.746
SYMBOL:PRKAR2B,10.456,10.6,10.733,10.496,10.142
SYMBOL:SMAD1,10.324,10.482,10.74,10.581,10.397
SYMBOL:SMAD2,10.01,10.074,10.454,10.294,10.278
SYMBOL:SMAD2,10.2,10.325,10.732,10.582,10.39
SYMBOL:SMAD3,11.131,11.202,11.231,11.121,11.24
SYMBOL:SMAD3,10.282,10.299,10.657,10.373,10.329
SYMBOL:SMAD3,10.173,10.206,10.592,10.443,10.536
SYMBOL:SMAD3,10.369,10.389,10.83,10.654,10.771
SYMBOL:SMAD3,11.398,11.501,11.467,11.149,11.671
SYMBOL:STAT5A,10.136,10.166,10.348,10.277,10.484
SYMBOL:KCNIP3,11.979,11.597,11.477,11.171,11.367
SYMBOL:GRIN2B,10.979,10.661,11.1,11.325,10.425
SYMBOL:PECAM1,10.592,10.719,10.554,10.719,10.547
SYMBOL:PTPRK,10.883,11.293,11.153,11.213,10.948
SYMBOL:GTF2I,10.713,10.775,11.107,11.375,10.764
SYMBOL:TNK2,11.043,10.812,10.92,10.992,10.273
SYMBOL:ALK,11.384,11.407,11.164,11.313,11.102
SYMBOL:ALK,11.697,11.4,11.399,11.578,11.197
SYMBOL:BLNK,11.081,11.33,11.422,11.76,11.264
SYMBOL:BMX,10.806,10.829,11.183,10.69,10.803
SYMBOL:Pim1,10.337,10.399,10.605,10.494,10.518
SYMBOL:PLD1,10.367,10.62,10.585,10.671,10.033
SYMBOL:BCR,10.979,11.123,10.907,10.883,10.896
SYMBOL:PTK6,10.834,11.038,11.157,11.33,11.083
SYMBOL:ADD1,10.157,10.179,10.533,10.448,10.485
SYMBOL:CD5,10.782,11.049,11.672,11.665,11.417
SYMBOL:CSF1R,11.361,11.29,11.292,11.292,11.149
SYMBOL:DAPP1,10.514,10.578,9.981,10.577,10.02
SYMBOL:DDX5,11.139,11.227,11.01,11.104,10.696
SYMBOL:HCK,11.643,11.501,10.17,11.012,10.91
SYMBOL:RAF1,10.207,10.052,9.85,9.816,9.746
SYMBOL:CCNB1,10.196,10.375,10.818,11.028,10.262
SYMBOL:CCNE1,13.948,13.975,13.316,13.606,13.625
