Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
2.0000	0.1596	0.0053	3.4733	1.0000	mTORC1_S6K1	0.111061	0.004386	p21 -- AKT	0.005976	0.001057	p21 -- mTORC1_S6K1	0.059402	0.003248	mTORC1_S6K1 -- AKT	0.105501	0.004308	<nil>	0.116335	0.004464	Senescence	0.040312	0.002730	p21 -- mTORC1_S6K1 -- AKT	0.002250	0.000620	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.014368	0.001658	p21 -- Senescence -- AKT	0.003002	0.000748	mTORC1_S6K1 -- Senescence	0.046075	0.002911	p21 -- Senescence	0.060321	0.003322	Senescence -- AKT	0.018049	0.001856	p21 -- mTORC1_S6K1 -- Senescence	0.141922	0.004882	mTORC1_S6K1 -- Senescence -- AKT	0.047968	0.002981	p21	0.182741	0.005413	AKT	0.044718	0.002887
2.1000	0.1534	0.0052	3.4462	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.014547	0.001647	p21 -- Senescence	0.059066	0.003284	Senescence -- AKT	0.016332	0.001752	mTORC1_S6K1	0.109415	0.004348	p21 -- AKT	0.005100	0.000995	p21 -- mTORC1_S6K1	0.061906	0.003325	mTORC1_S6K1 -- AKT	0.108923	0.004378	AKT	0.041556	0.002772	p21	0.187922	0.005467	Senescence	0.037114	0.002607	p21 -- mTORC1_S6K1 -- AKT	0.002347	0.000662	p21 -- Senescence -- AKT	0.002587	0.000703	mTORC1_S6K1 -- Senescence	0.044462	0.002854	p21 -- mTORC1_S6K1 -- Senescence	0.146809	0.004962	mTORC1_S6K1 -- Senescence -- AKT	0.046483	0.002936	<nil>	0.115431	0.004443
2.2000	0.1487	0.0051	3.4182	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.013555	0.001599	mTORC1_S6K1	0.109830	0.004359	p21 -- AKT	0.004319	0.000915	p21 -- Senescence	0.057250	0.003224	Senescence -- AKT	0.013658	0.001599	p21 -- mTORC1_S6K1	0.063586	0.003384	mTORC1_S6K1 -- AKT	0.109840	0.004388	AKT	0.039276	0.002702	p21	0.192862	0.005540	Senescence	0.035833	0.002571	p21 -- mTORC1_S6K1 -- AKT	0.003037	0.000764	p21 -- Senescence -- AKT	0.002302	0.000650	mTORC1_S6K1 -- Senescence	0.041311	0.002774	p21 -- mTORC1_S6K1 -- Senescence	0.150981	0.005020	mTORC1_S6K1 -- Senescence -- AKT	0.046314	0.002936	<nil>	0.116048	0.004462
2.3000	0.1446	0.0051	3.3919	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.012753	0.001555	p21 -- Senescence	0.056532	0.003213	Senescence -- AKT	0.011575	0.001482	p21 -- mTORC1_S6K1	0.065280	0.003402	mTORC1_S6K1 -- AKT	0.112172	0.004434	<nil>	0.115329	0.004452	AKT	0.037861	0.002662	p21	0.197669	0.005578	Senescence	0.034269	0.002533	p21 -- mTORC1_S6K1 -- AKT	0.003552	0.000808	p21 -- Senescence -- AKT	0.002507	0.000697	mTORC1_S6K1 -- Senescence	0.037638	0.002636	mTORC1_S6K1	0.109639	0.004349	p21 -- AKT	0.003375	0.000792	p21 -- mTORC1_S6K1 -- Senescence	0.154614	0.005067	mTORC1_S6K1 -- Senescence -- AKT	0.045236	0.002898
2.4000	0.1389	0.0050	3.3608	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.012718	0.001568	p21 -- Senescence	0.055018	0.003164	Senescence -- AKT	0.009748	0.001374	p21 -- mTORC1_S6K1	0.066924	0.003455	mTORC1_S6K1 -- AKT	0.113623	0.004453	AKT	0.035932	0.002583	p21	0.203158	0.005640	Senescence	0.031928	0.002447	p21 -- mTORC1_S6K1 -- AKT	0.003849	0.000836	mTORC1_S6K1	0.109860	0.004352	p21 -- AKT	0.002932	0.000729	mTORC1_S6K1 -- Senescence -- AKT	0.043660	0.002867	p21 -- mTORC1_S6K1 -- Senescence	0.160237	0.005146	mTORC1_S6K1 -- Senescence	0.035052	0.002553	p21 -- Senescence -- AKT	0.002007	0.000614	<nil>	0.113352	0.004417
2.5000	0.1325	0.0048	3.3327	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.012584	0.001554	p21 -- Senescence	0.053757	0.003138	Senescence -- AKT	0.008537	0.001276	p21 -- mTORC1_S6K1	0.068593	0.003498	mTORC1_S6K1 -- AKT	0.114076	0.004459	AKT	0.034298	0.002545	p21	0.208851	0.005702	Senescence	0.028785	0.002332	p21 -- mTORC1_S6K1 -- AKT	0.003045	0.000743	mTORC1_S6K1	0.109505	0.004350	p21 -- AKT	0.002557	0.000708	mTORC1_S6K1 -- Senescence -- AKT	0.042634	0.002825	p21 -- mTORC1_S6K1 -- Senescence	0.164062	0.005198	mTORC1_S6K1 -- Senescence	0.037267	0.002630	p21 -- Senescence -- AKT	0.001409	0.000504	<nil>	0.110039	0.004370
2.6000	0.1265	0.0048	3.3058	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.011678	0.001480	p21 -- mTORC1_S6K1	0.069478	0.003507	mTORC1_S6K1 -- AKT	0.114266	0.004469	mTORC1_S6K1 -- Senescence -- AKT	0.043343	0.002830	p21 -- mTORC1_S6K1 -- Senescence	0.169433	0.005259	p21 -- Senescence -- AKT	0.001289	0.000498	mTORC1_S6K1 -- Senescence	0.036160	0.002591	Senescence	0.026299	0.002232	p21 -- mTORC1_S6K1 -- AKT	0.002496	0.000686	Senescence -- AKT	0.007471	0.001191	p21 -- Senescence	0.051855	0.003087	AKT	0.033494	0.002520	p21	0.212969	0.005741	mTORC1_S6K1	0.108743	0.004335	p21 -- AKT	0.002428	0.000693	<nil>	0.108598	0.004339
2.7000	0.1195	0.0046	3.2802	1.0000	mTORC1_S6K1 -- Senescence	0.033937	0.002520	p21 -- Senescence -- AKT	0.001143	0.000469	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.011525	0.001480	p21 -- mTORC1_S6K1	0.070374	0.003529	mTORC1_S6K1 -- AKT	0.115450	0.004494	AKT	0.031926	0.002463	p21	0.217578	0.005787	Senescence	0.024784	0.002163	p21 -- mTORC1_S6K1 -- AKT	0.002864	0.000726	mTORC1_S6K1	0.109430	0.004353	p21 -- AKT	0.002417	0.000684	<nil>	0.105303	0.004283	p21 -- Senescence	0.049855	0.003017	Senescence -- AKT	0.006236	0.001073	mTORC1_S6K1 -- Senescence -- AKT	0.042204	0.002805	p21 -- mTORC1_S6K1 -- Senescence	0.174974	0.005326
2.8000	0.1138	0.0046	3.2585	1.0000	mTORC1_S6K1 -- Senescence	0.031988	0.002447	p21 -- Senescence -- AKT	0.001029	0.000447	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.012357	0.001534	p21 -- mTORC1_S6K1	0.071687	0.003558	mTORC1_S6K1 -- AKT	0.117470	0.004519	AKT	0.030344	0.002396	p21	0.219969	0.005822	Senescence	0.023149	0.002102	p21 -- mTORC1_S6K1 -- AKT	0.002949	0.000748	mTORC1_S6K1	0.108445	0.004334	p21 -- AKT	0.002046	0.000619	<nil>	0.103374	0.004263	p21 -- Senescence	0.048735	0.002999	Senescence -- AKT	0.005849	0.001051	mTORC1_S6K1 -- Senescence -- AKT	0.039861	0.002724	p21 -- mTORC1_S6K1 -- Senescence	0.180748	0.005395
2.9000	0.1117	0.0045	3.2347	1.0000	mTORC1_S6K1 -- Senescence	0.032521	0.002468	p21 -- Senescence -- AKT	0.001048	0.000450	p21 -- mTORC1_S6K1	0.071012	0.003536	mTORC1_S6K1 -- AKT	0.120349	0.004583	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.012277	0.001526	AKT	0.029955	0.002389	p21	0.224021	0.005842	Senescence	0.020213	0.001951	p21 -- mTORC1_S6K1 -- AKT	0.002600	0.000720	mTORC1_S6K1	0.105612	0.004285	p21 -- AKT	0.001796	0.000598	<nil>	0.099844	0.004174	p21 -- Senescence	0.048859	0.002994	Senescence -- AKT	0.005392	0.001026	mTORC1_S6K1 -- Senescence -- AKT	0.038236	0.002685	p21 -- mTORC1_S6K1 -- Senescence	0.186264	0.005458
