,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
1420,00000000
1421,00000000
1422,10001110
1423,00001000
1424,10101010
1425,00001111
1426,00000000
1427,10101110
1428,00000000
1429,11101111
1430,10101010
1431,11101111
1432,10001010
1433,11001111
1434,10001111
1435,10001000
1436,11111111
1437,10001111
1438,00000000
1439,00000000
1440,00000000
1441,00001000
1442,00001000
1443,10101110
1444,00001000
1445,00000000
1446,10001110
1447,00001110
1448,00001000
1449,11001111
1450,00000000
1451,00000000
1452,00001010
1453,00000000
1454,00000000
1455,11111111
1456,10101110
1457,10001111
1458,10101111
1459,11111111
1460,00000000
1461,00000000
1462,10101111
1463,00001010
1464,10101111
1465,11001110
1466,00000000
1467,10001110
1468,00001010
1469,00000000
1470,00000000
1471,00000000
1472,10001110
1473,00000000
1474,00001000
1475,10001000
1476,11001111
1477,00000000
1478,00001111
1479,00000000
1480,11101110
1481,10001110
1482,00000000
1483,00001000
1484,10001110
1485,00001010
1486,10001110
1487,10001000
1488,11101111
1489,00001000
1490,11001110
1491,11001111
1492,10101111
1493,00000000
1494,11001110
1495,00000000
1496,10001110
1497,00001100
1498,00000000
1499,00000000
1500,00000000
1501,10001110
1502,10001110
1503,11101110
1504,00001111
1505,11111111
1506,11111111
1507,00000000
1508,00000000
1509,11111111
1510,00000000
1511,10101111
1512,00000000
1513,10001110
1514,11001111
1515,10101010
1516,11101111
1517,00000000
1518,10001100
1519,11001110
1520,00001000
1521,11111111
1522,11001111
1523,00000000
1524,00000000
1525,00000000
1526,00000000
1527,11111111
1528,11111111
1529,10001000
1530,00001010
1531,10101111
1532,11001111
1533,00000000
1534,10001110
1535,00001010
1536,11101111
1537,10001111
1538,10001110
1539,00000000
1540,10001110
1541,00000000
1542,00001000
1543,00001010
1544,00000000
1545,00000000
1546,10101110
1547,10001110
1548,00001000
1549,00000000
1550,00000000
1551,00001111
1552,11001111
1553,10101010
1554,10001110
1555,00000000
1556,11111111
1557,00000000
1558,00000000
1559,11111111
1560,11101111
1561,00001010
1562,00001000
1563,11001111
1564,10001111
1565,10001110
1566,11101110
1567,00001110
1568,11001111
1569,11111111
1570,10101111
1571,10001111
1572,00000000
1573,11101111
1574,11101111
1575,10001110
1576,10001000
1577,10001110
1578,00000000
1579,10001110
1580,00001000
1581,11111111
1582,00000000
1583,10101111
1584,10101111
1585,00001110
1586,10001110
1587,00000000
1588,11001111
1589,00000000
1590,00001000
1591,00000000
1592,11111111
1593,10101111
1594,00001100
1595,10001111
1596,11111111
1597,00000000
1598,10001010
1599,00000000
1600,11111111
1601,00000000
1602,00000000
1603,11001111
1604,10001010
1605,00001000
1606,10001110
1607,10001110
1608,00000000
1609,00000000
1610,00000000
1611,11101110
1612,00001000
1613,00000000
1614,10001110
1615,00000000
1616,11101111
1617,11111111
1618,00000000
1619,00000000
1620,00000000
1621,00000000
1622,10101111
1623,00000000
1624,00000000
1625,00001111
1626,10001110
1627,00000000
1628,11111111
1629,10001110
1630,00001000
1631,00001111
1632,10101111
1633,00000000
1634,00000000
1635,00000000
1636,10001110
1637,10001010
1638,00000000
1639,11101111
1640,10001110
1641,00000000
1642,10101111
1643,00001110
1644,10101110
1645,00000000
1646,00000000
1647,11111111
1648,10001111
1649,10101111
1650,11101111
1651,00001000
1652,00000000
1653,00001010
1654,11111111
1655,11101110
1656,10001110
1657,00001100
1658,10001110
1659,10101111
1660,11101110
1661,10001111
1662,00000000
1663,11111111
1664,00000000
1665,00001000
1666,00001010
1667,00001111
1668,00001000
1669,00000000
1670,10001000
1671,11001111
1672,00001110
1673,11101111
1674,10001000
1675,00000000
1676,10101111
1677,00000000
1678,00000000
1679,10101010
1680,00001111
1681,00001010
1682,00000000
1683,00001010
1684,11101111
1685,11001111
1686,11001110
1687,11101111
1688,11101111
1689,10001010
1690,11111111
1691,11111111
1692,10001000
1693,00000000
1694,11111111
1695,11101111
1696,00001111
1697,10001110
1698,11101111
1699,10001010
1700,10001100
1701,10101110
1702,00000000
1703,10001111
1704,10101111
1705,00000000
1706,10101110
1707,00001000
1708,00000000
1709,00000000
1710,11001110
1711,11001110
1712,00000000
1713,11111111
1714,00000000
1715,00000000
1716,00001000
1717,11001110
1718,00000000
1719,00001110
1720,11111111
1721,00000000
1722,10101111
1723,00001000
1724,00001000
1725,10001110
1726,00000000
1727,11111111
1728,10001010
1729,11001100
1730,00000000
1731,11101111
1732,11101111
1733,00001100
1734,10001010
1735,00001000
1736,11001110
1737,00001000
1738,10101111
1739,10101111
1740,00001010
1741,11111111
1742,00000000
1743,00000000
1744,00001110
1745,00001000
1746,10101110
1747,00001111
1748,11111111
1749,00000000
1750,11001111
1751,00000000
1752,00001110
1753,00000000
1754,00001111
1755,00000000
1756,10001111
1757,11111111
1758,11111111
1759,11001110
1760,00001010
1761,11111111
1762,11001110
1763,10101111
1764,00000000
1765,00000000
1766,11101111
1767,00000000
1768,11111111
1769,00000000
1770,00001000
1771,00001110
1772,00001111
1773,00001000
1774,10001110
1775,00001100
1776,11101111
1777,00000000
1778,10001100
1779,10001111
1780,00000000
1781,11001111
1782,10001111
1783,00000000
1784,00001000
1785,00000000
1786,10101110
1787,11001111
1788,00000000
1789,10001110
1790,11101111
1791,11001111
1792,00000000
1793,11111111
1794,10001000
1795,00000000
1796,00001010
1797,00001000
1798,11101111
1799,10001110
1800,00001111
1801,10101111
1802,00001010
1803,10001111
1804,00001110
1805,00001110
1806,11001111
1807,11101110
1808,11101111
1809,11001111
1810,00001010
1811,00001000
1812,00001000
1813,00001111
1814,11101111
1815,00000000
1816,00000000
1817,10001000
1818,00000000
1819,00001000
1820,00000000
1821,10001111
1822,11101110
1823,00001100
1824,10001110
1825,11101111
1826,00000000
1827,10001110
1828,00000000
1829,10101110
1830,10001010
1831,11111111
1832,00001010
1833,10001010
1834,11101111
1835,11101111
1836,00000000
1837,00001000
1838,00000000
1839,10101110
1840,11111111
1841,00001100
1842,10101010
1843,00000000
1844,11111111
1845,00001010
1846,00001111
1847,00000000
1848,10101110
1849,00000000
1850,00000000
1851,11111111
1852,11111111
1853,00001010
1854,00001111
1855,00000000
1856,10001111
1857,10101111
1858,10001111
1859,00000000
1860,10001010
1861,11111111
1862,00000000
1863,11101111
1864,00000000
1865,00000000
1866,00001010
1867,00000000
1868,00000000
1869,00001010
1870,10001111
1871,11111111
1872,00000000
1873,00001000
1874,10101111
1875,00001000
1876,00000000
1877,10001000
1878,00001111
1879,11111111
1880,11101111
1881,00000000
1882,10001110
1883,00000000
1884,11111111
1885,10001000
1886,11111111
1887,00001111
1888,11101110
1889,11111111
1890,10001111
1891,00000000
1892,10001110
