,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
881,10001100
882,00001000
883,10001110
884,10001110
885,11001110
886,00000000
887,00000000
888,00001000
889,00000000
890,11001110
891,00000000
892,10001000
893,00000000
894,10001110
895,00000000
896,10001110
897,10101110
898,00001000
899,10001000
900,10001000
901,00000000
902,10001110
903,00001000
904,10101110
905,00001010
906,00000000
907,10101110
908,00000000
909,10001110
910,00000000
911,00000000
912,00000000
913,00000000
914,00000000
915,00000000
916,00001000
917,10001010
918,00000000
919,00000000
920,11001110
921,00000000
922,00001000
923,11001110
924,00001000
925,00000000
926,00000000
927,00001000
928,10001110
929,00000000
930,10101010
931,00001000
932,10001110
933,00000000
934,00000000
935,00000000
936,10001110
937,00001000
938,10101010
939,00000000
940,10101110
941,00000000
942,10101010
943,10001010
944,10001000
945,00000000
946,00000000
947,00000000
948,00001000
949,00001000
950,10101110
951,00001000
952,00000000
953,10001110
954,00001110
955,00001000
956,00000000
957,00000000
958,00001010
959,00000000
960,00000000
961,10101110
962,00000000
963,00000000
964,00001010
965,11001110
966,00000000
967,10001110
968,00001010
969,00000000
970,00000000
971,00000000
972,10001110
973,00000000
974,00001000
975,10001000
976,00000000
977,00000000
978,11101110
979,10001110
980,00000000
981,00001000
982,10001110
983,00001010
984,10001110
985,10001000
986,00001000
987,11001110
988,00000000
989,11001110
990,00000000
991,10001110
992,00001100
993,00000000
994,00000000
995,00000000
996,10001110
997,10001110
998,11101110
999,00000000
1000,00000000
1001,00000000
1002,00000000
1003,10001110
1004,10101010
1005,00000000
1006,10001100
1007,11001110
1008,00001000
1009,00000000
1010,00000000
1011,00000000
1012,00000000
1013,10001000
1014,00001010
1015,00000000
1016,10001110
1017,00001010
1018,10001110
1019,00000000
1020,10001110
1021,00000000
1022,00001000
1023,00001010
1024,00000000
1025,00000000
1026,10101110
1027,10001110
1028,00001000
1029,00000000
1030,00000000
1031,10101010
1032,10001110
1033,00000000
1034,00000000
1035,00000000
1036,00001010
1037,00001000
1038,10001110
1039,11101110
1040,00001110
1041,00000000
1042,10001110
1043,10001000
1044,10001110
1045,00000000
1046,10001110
1047,00001000
1048,00000000
1049,00001110
1050,10001110
1051,00000000
1052,00000000
1053,00001000
1054,00000000
1055,00001100
1056,00000000
1057,10001010
1058,00000000
1059,00000000
1060,00000000
1061,10001010
1062,00001000
1063,10001110
1064,10001110
1065,00000000
1066,00000000
1067,00000000
1068,11101110
1069,00001000
1070,00000000
1071,10001110
1072,00000000
1073,00000000
1074,00000000
1075,00000000
1076,00000000
1077,00000000
1078,00000000
1079,10001110
1080,00000000
1081,10001110
1082,00001000
1083,00000000
1084,00000000
1085,00000000
1086,10001110
1087,10001010
1088,00000000
1089,10001110
1090,00000000
1091,00001110
1092,10101110
1093,00000000
1094,00000000
1095,00001000
1096,00000000
1097,00001010
1098,11101110
1099,10001110
1100,00001100
1101,10001110
1102,11101110
1103,00000000
1104,00000000
1105,00001000
1106,00001010
1107,00001000
1108,00000000
1109,10001000
1110,00001110
1111,10001000
1112,00000000
1113,00000000
1114,00000000
1115,10101010
1116,00001010
1117,00000000
1118,00001010
1119,11001110
1120,10001010
1121,10001000
1122,00000000
1123,10001110
1124,10001010
1125,10001100
1126,10101110
1127,00000000
1128,00000000
1129,10101110
1130,00001000
1131,00000000
1132,00000000
1133,11001110
1134,11001110
1135,00000000
1136,00000000
1137,00000000
1138,00001000
1139,11001110
1140,00000000
1141,00001110
1142,00000000
1143,00001000
1144,00001000
1145,10001110
1146,00000000
1147,10001010
1148,11001100
1149,00000000
1150,00001100
1151,10001010
1152,00001000
1153,11001110
1154,00001000
1155,00001010
1156,00000000
1157,00000000
1158,00001110
1159,00001000
1160,10101110
1161,00000000
1162,00000000
1163,00001110
1164,00000000
1165,00000000
1166,11001110
1167,00001010
1168,11001110
1169,00000000
1170,00000000
1171,00000000
1172,00000000
1173,00001000
1174,00001110
1175,00001000
1176,10001110
1177,00001100
1178,00000000
1179,10001100
1180,00000000
1181,00000000
1182,00001000
1183,00000000
1184,10101110
1185,00000000
1186,10001110
1187,00000000
1188,10001000
1189,00000000
1190,00001010
1191,00001000
1192,10001110
1193,00001010
1194,00001110
1195,00001110
1196,11101110
1197,00001010
1198,00001000
1199,00001000
1200,00000000
1201,00000000
1202,10001000
1203,00000000
1204,00001000
1205,00000000
1206,11101110
1207,00001100
1208,10001110
1209,00000000
1210,10001110
1211,00000000
1212,10101110
1213,10001010
1214,00001010
1215,10001010
1216,00000000
1217,00001000
1218,00000000
1219,10101110
1220,00001100
1221,10101010
1222,00000000
1223,00001010
1224,00000000
1225,10101110
1226,00000000
1227,00000000
1228,00001010
1229,00000000
1230,00000000
1231,10001010
1232,00000000
1233,00000000
1234,00000000
1235,00001010
1236,00000000
1237,00000000
1238,00001010
1239,00000000
1240,00001000
1241,00001000
1242,00000000
1243,10001000
1244,00000000
1245,10001110
1246,00000000
1247,10001000
1248,11101110
1249,00000000
1250,10001110
1251,00000000
1252,10001110
1253,00001000
1254,00001100
1255,10001010
1256,00001000
1257,10001010
1258,10001110
1259,10101010
1260,00000000
1261,10001110
1262,10101010
1263,00000000
1264,00000000
1265,00000000
1266,00001000
1267,11001110
1268,00000000
1269,00000000
1270,00001010
1271,00001010
1272,10001110
1273,00000000
1274,00000000
1275,00001000
1276,00000000
1277,00000000
1278,00000000
1279,00001000
1280,00000000
1281,00000000
1282,10101010
1283,00000000
1284,00000000
1285,00000000
1286,00001000
1287,00001000
1288,00000000
1289,00000000
1290,00001000
1291,00001000
1292,00001100
1293,00000000
1294,10101110
1295,10001110
1296,00000000
1297,00001000
1298,00000000
1299,00000000
1300,11001100
1301,00000000
1302,11001110
1303,00000000
1304,00001000
1305,00001100
1306,00000000
1307,00000000
1308,11001100
1309,10001010
1310,10001100
1311,00001000
1312,10001110
1313,10001110
1314,10101110
1315,00000000
1316,00001000
1317,00000000
1318,00001000
1319,00000000
1320,00001000
1321,00000000
1322,00001000
1323,00000000
1324,10101110
1325,00001000
1326,00000000
1327,10001110
1328,00000000
1329,00000000
1330,00001010
1331,00000000
1332,00001010
1333,00001000
1334,00000000
1335,11001110
1336,00000000
1337,00000000
1338,00000000
1339,00000000
1340,00000000
1341,00000000
1342,00000000
1343,00000000
1344,00000000
1345,11001110
1346,10001110
1347,00001000
1348,00001110
1349,11001100
1350,00001000
