Time,TH,ErrTH,H,Prob[p21--Senescence--AKT],ErrProb[p21--Senescence--AKT],Prob[Insulin--p21--mTORC1_S6K1--AKT],ErrProb[Insulin--p21--mTORC1_S6K1--AKT],Prob[mTORC1_S6K1],ErrProb[mTORC1_S6K1],Prob[Insulin--mTORC1_S6K1--Senescence--AKT],ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT],Prob[Senescence--AKT],ErrProb[Senescence--AKT],Prob[Insulin--p21--AKT],ErrProb[Insulin--p21--AKT],Prob[Senescence],ErrProb[Senescence],Prob[Insulin--mTORC1_S6K1],ErrProb[Insulin--mTORC1_S6K1],Prob[AKT],ErrProb[AKT],Prob[Insulin--p21--mTORC1_S6K1],ErrProb[Insulin--p21--mTORC1_S6K1],Prob[Insulin--p21--mTORC1_S6K1--Senescence],ErrProb[Insulin--p21--mTORC1_S6K1--Senescence],Prob[p21--mTORC1_S6K1--Senescence--AKT],ErrProb[p21--mTORC1_S6K1--Senescence--AKT],Prob[Insulin--p21],ErrProb[Insulin--p21],Prob[mTORC1_S6K1--Senescence--AKT],ErrProb[mTORC1_S6K1--Senescence--AKT],Prob[mTORC1_S6K1--Senescence],ErrProb[mTORC1_S6K1--Senescence],Prob[Insulin--p21--Senescence],ErrProb[Insulin--p21--Senescence],Prob[Insulin--mTORC1_S6K1--Senescence],ErrProb[Insulin--mTORC1_S6K1--Senescence],Prob[mTORC1_S6K1--AKT],ErrProb[mTORC1_S6K1--AKT],Prob[Insulin--mTORC1_S6K1--AKT],ErrProb[Insulin--mTORC1_S6K1--AKT],Prob[p21],ErrProb[p21],Prob[p21--mTORC1_S6K1],ErrProb[p21--mTORC1_S6K1],Prob[p21--mTORC1_S6K1--Senescence],ErrProb[p21--mTORC1_S6K1--Senescence],Prob[Insulin],ErrProb[Insulin],Prob[Insulin--Senescence],ErrProb[Insulin--Senescence],Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT],ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT],Prob[Insulin--AKT],ErrProb[Insulin--AKT],Prob[p21--mTORC1_S6K1--AKT],ErrProb[p21--mTORC1_S6K1--AKT],Prob[Insulin--Senescence--AKT],ErrProb[Insulin--Senescence--AKT],Prob[p21--AKT],ErrProb[p21--AKT],Prob[Insulin--p21--Senescence--AKT],ErrProb[Insulin--p21--Senescence--AKT],Prob[p21--Senescence],ErrProb[p21--Senescence],Prob[<nil>],ErrProb[<nil>],mTORC1_S6K1,Insulin,p21,AKT,<nil>,Senescence
20.0,0.0587,0.0077,2.1184,0.0,0.0,0.004803,0.002151,0.0,0.0,0.009512,0.002948,0.0,0.0,9.7e-05,9.7e-05,0.0,0.0,0.021588999999999997,0.004543,0.0,0.0,0.017356,0.004029,0.158445,0.011498999999999999,0.0,0.0,0.177655,0.01204,0.0,0.0,0.0,0.0,0.017137,0.003956,0.003399,0.0017350000000000002,0.0,0.0,0.5348689999999999,0.015765,0.0,0.0,0.0,0.0,0.0,0.0,0.033164,0.0055320000000000005,0.0023079999999999997,0.001446,0.005381,0.002263,0.012145,0.003401,0.0,0.0,0.0,0.0,0.0,0.0,0.00214,0.001367,0.0,0.0,0.0,0.0,0.7553539999999999,1.0,0.383014,0.568947,0.0,0.198322
20.1,0.0504,0.0072,2.1259,0.0,0.0,0.0045119999999999995,0.002061,0.0,0.0,0.009427,0.002968,0.0,0.0,0.001,0.001,0.0,0.0,0.020623,0.004424,0.0,0.0,0.019844999999999998,0.004365,0.153586,0.011358,0.0,0.0,0.175705,0.012006000000000001,0.0,0.0,0.0,0.0,0.020833,0.004437,0.003418,0.001779,0.0,0.0,0.538421,0.015738,0.0,0.0,0.0,0.0,0.0,0.0,0.033291,0.005587,0.003,0.00173,0.004339,0.002025,0.01,0.003148,0.0,0.0,0.00040300000000000004,0.00040300000000000004,0.0,0.0,0.0015970000000000001,0.001164,0.0,0.0,0.0,0.0,0.7541709999999999,1.0,0.38141699999999995,0.569699,0.0,0.19660299999999997
20.2,0.0469,0.007,2.1193,0.0,0.0,0.005579,0.002288,0.0,0.0,0.008,0.0028190000000000003,0.0,0.0,0.001,0.001,0.0,0.0,0.021156,0.004499,0.0,0.0,0.014305000000000002,0.0036130000000000003,0.152719,0.011349,0.0,0.0,0.174232,0.011951,0.0,0.0,0.0,0.0,0.023605,0.004778,0.004618,0.002089,0.0,0.0,0.541,0.015766,0.0,0.0,0.0,0.0,0.0,0.0,0.035617,0.005748,0.003,0.00173,0.004,0.001997,0.009168,0.0029920000000000003,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.751377,0.9999990000000001,0.37644,0.570747,0.0,0.197942
20.3,0.0434,0.0068,2.1179,0.0,0.0,0.005234,0.0022429999999999998,0.0,0.0,0.008339,0.002829,0.0,0.0,0.001,0.001,0.0,0.0,0.022943,0.004598,0.0,0.0,0.012757,0.003379,0.152219,0.011356999999999999,0.0,0.0,0.173076,0.011921,0.0,0.0,0.0,0.0,0.024174,0.004821,0.0040149999999999995,0.00187,0.0,0.0,0.5417,0.015746,0.0,0.0,0.0,0.0,0.0,0.0,0.036610000000000004,0.005879,0.003,0.00173,0.004765999999999999,0.0021379999999999997,0.008166,0.0027649999999999997,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.7519729999999999,0.9999989999999999,0.374226,0.571205,0.0,0.198513
20.4,0.0378,0.0064,2.1064,0.0,0.0,0.0048189999999999995,0.0020859999999999997,0.0,0.0,0.010704,0.0032240000000000003,0.0,0.0,0.001,0.001,0.0,0.0,0.025038,0.004895,0.0,0.0,0.01258,0.003351,0.153624,0.011387999999999999,0.0,0.0,0.174152,0.011927,0.0,0.0,0.0,0.0,0.021144,0.004457,0.002,0.0014140000000000001,0.0,0.0,0.542063,0.015746,0.0,0.0,0.0,0.0,0.0,0.0,0.034577,0.005719,0.003,0.00173,0.004296,0.002018,0.009004,0.002967,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.755124,1.0000010000000001,0.37261500000000003,0.573886,0.0,0.196768
20.5,0.0379,0.0064,2.1067,0.0,0.0,0.003012,0.00173,0.0,0.0,0.010870999999999999,0.003264,0.0,0.0,0.0019879999999999997,0.001405,0.0,0.0,0.025278,0.004882,0.0,0.0,0.014981999999999999,0.0037159999999999997,0.15556,0.011427,0.0,0.0,0.17388,0.011918000000000002,0.0,0.0,0.0,0.0,0.017518000000000002,0.004118999999999999,0.00235,0.001456,0.0,0.0,0.542099,0.015739,0.0,0.0,0.0,0.0,0.0,0.0,0.032304,0.005493,0.00265,0.0015550000000000002,0.004854,0.0020559999999999997,0.010655,0.003187,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.759006,1.0000010000000001,0.372794,0.575479,0.0,0.195803
20.6,0.0404,0.0064,2.1225,0.0,0.0,0.003,0.00173,0.0,0.0,0.010719,0.003151,0.0,0.0,0.002173,0.001424,0.0,0.0,0.027199,0.0050409999999999995,0.0,0.0,0.015939,0.003848,0.155428,0.011452,0.0,0.0,0.17235599999999998,0.011918000000000002,0.0,0.0,0.0,0.0,0.017,0.00409,0.003972,0.001983,0.0,0.0,0.541611,0.015757,0.0,0.0,0.0,0.0,0.0,0.0,0.028107,0.005118,0.0028510000000000002,0.0016489999999999999,0.005682,0.002283,0.012389,0.0034649999999999998,0.0,0.0,0.0007469999999999999,0.000617,0.0,0.0,0.0008269999999999999,0.0008269999999999999,0.0,0.0,0.0,0.0,0.76355,1.0,0.372405,0.5771479999999999,0.0,0.19722599999999998
20.7,0.0417,0.0066,2.1313,0.0,0.0,0.003,0.00173,0.0,0.0,0.011353,0.0033179999999999998,0.0,0.0,0.003,0.00173,0.0,0.0,0.027343,0.005053,0.0,0.0,0.017276,0.003978,0.154165,0.01138,0.0,0.0,0.170962,0.011856,0.0,0.0,0.0,0.0,0.017477,0.0040490000000000005,0.004675,0.002107,0.0,0.0,0.541858,0.015734,0.0,0.0,0.0,0.0,0.0,0.0,0.026189999999999998,0.0049770000000000005,0.003,0.00173,0.005,0.002232,0.013701,0.0036490000000000003,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76467,0.9999999999999998,0.37088000000000004,0.578912,0.0,0.19667
20.8,0.0404,0.0065,2.1471,0.0,0.0,0.003,0.00173,0.0,0.0,0.012525,0.003483,0.0,0.0,0.003,0.00173,0.0,0.0,0.028657,0.005247,0.0,0.0,0.015778,0.003878,0.152257,0.011312000000000001,0.0,0.0,0.17076,0.011885,0.0,0.0,0.0,0.0,0.018244,0.004142,0.006023,0.0023539999999999998,0.0,0.0,0.540745,0.015753,0.0,0.0,0.0,0.0,0.0,0.0,0.024685,0.004864,0.003,0.00173,0.005304,0.002251,0.015022,0.0037700000000000003,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7642890000000001,1.0,0.36834300000000003,0.580596,0.0,0.198353
20.9,0.0418,0.0064,2.1621,0.0,0.0,0.002228,0.0014320000000000001,0.0,0.0,0.013791999999999999,0.003647,0.0,0.0,0.0025440000000000003,0.00147,0.0,0.0,0.028845,0.005222,0.0,0.0,0.015314,0.003779,0.14739100000000002,0.011192,0.0,0.0,0.171954,0.011884,0.0,0.0,0.0,0.0,0.018984,0.0042439999999999995,0.006333,0.0024649999999999997,0.0,0.0,0.540284,0.015735,0.0,0.0,0.0,0.0,0.0,0.0,0.026133999999999998,0.005016,0.003,0.00173,0.006052,0.002328,0.015571000000000002,0.003829,0.0,0.0,0.001,0.001,0.0,0.0,0.000572,0.000424,0.0,0.0,0.0,0.0,0.7602390000000001,0.999998,0.365039,0.582043,0.0,0.19712400000000002
21.0,0.0427,0.0063,2.1604,0.0,0.0,0.0010810000000000001,0.001003,0.0,0.0,0.014639,0.003701,0.0,0.0,0.003,0.00173,0.0,0.0,0.027649,0.005145,0.0,0.0,0.015619,0.003829,0.147976,0.011206,0.0,0.0,0.169957,0.011858,0.0,0.0,0.0,0.0,0.018969,0.004312,0.005369,0.002154,0.0,0.0,0.5413979999999999,0.015757,0.0,0.0,0.0,0.0,0.0,0.0,0.026956,0.005079,0.003,0.00173,0.004386999999999999,0.0020329999999999997,0.017,0.00409,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.0,0.0,0.7581179999999998,0.9999999999999999,0.362989,0.5845049999999999,0.0,0.19734000000000002
21.1,0.046,0.0066,2.1579,0.0,0.0,0.001,0.001,0.0,0.0,0.013556,0.003607,0.0,0.0,0.003,0.00173,0.0,0.0,0.028288999999999998,0.005203,0.0,0.0,0.017417,0.004107,0.148018,0.011235,0.0,0.0,0.16594,0.011737000000000001,0.0,0.0,0.0,0.0,0.018547,0.004222,0.004,0.001997,0.0,0.0,0.54325,0.015746,0.0,0.0,0.0,0.0,0.0,0.0,0.029789,0.005323,0.003,0.00173,0.004,0.001997,0.017193,0.004072,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.0,0.0,0.75953,0.999999,0.3599220000000001,0.584999,0.0,0.19412100000000002
21.2,0.0459,0.0067,2.152,0.0,0.0,0.001,0.001,0.0,0.0,0.012401,0.0034340000000000004,0.0,0.0,0.003,0.00173,0.0,0.0,0.028373000000000002,0.005178,0.0,0.0,0.019019,0.0042439999999999995,0.148697,0.011235,0.0,0.0,0.163638,0.011664,0.0,0.0,0.0,0.0,0.016784999999999998,0.0039689999999999994,0.003922999999999999,0.00196,0.0,0.0,0.545195,0.015728,0.0,0.0,0.0,0.0,0.0,0.0,0.032049,0.005441,0.003464,0.001791,0.004,0.001997,0.015456000000000001,0.0037920000000000002,0.0,0.0,0.001049,0.001001,0.0,0.0,0.0019510000000000003,0.001379,0.0,0.0,0.0,0.0,0.762608,1.0,0.35809,0.584052,0.0,0.19227
21.3,0.0372,0.0061,2.1308,0.0,0.0,0.001,0.001,0.0,0.0,0.012734,0.0034560000000000003,0.0,0.0,0.0024760000000000003,0.001317,0.0,0.0,0.028687,0.005139,0.0,0.0,0.020342,0.004297,0.150823,0.011302,0.0,0.0,0.162474,0.011651,0.0,0.0,0.0,0.0,0.015791,0.003915,0.003,0.00173,0.0,0.0,0.547075,0.015706,0.0,0.0,0.0,0.0,0.0,0.0,0.03257,0.005582,0.004,0.001997,0.002964,0.0017079999999999999,0.013677000000000002,0.0035280000000000003,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.00038700000000000003,0.00038700000000000003,0.0,0.0,0.0,0.0,0.766625,1.0,0.35625700000000005,0.582313,0.0,0.191699
21.4,0.0385,0.0062,2.1216,0.0,0.0,0.001634,0.001184,0.0,0.0,0.011738,0.0033539999999999998,0.0,0.0,0.001,0.001,0.0,0.0,0.029705000000000002,0.005324000000000001,0.0,0.0,0.02065,0.004399,0.150627,0.011306,0.0,0.0,0.16103699999999999,0.011590000000000001,0.0,0.0,0.0,0.0,0.017,0.00409,0.003042,0.001731,0.0,0.0,0.548512,0.015716,0.0,0.0,0.0,0.0,0.0,0.0,0.031076999999999997,0.005414,0.004,0.001997,0.002,0.0014140000000000001,0.015978,0.003919,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767908,1.0,0.35394800000000004,0.582862,0.0,0.19040700000000002
21.5,0.0365,0.0059,2.1198,0.0,0.0,0.0015630000000000002,0.0010960000000000002,0.0,0.0,0.011,0.0033,0.0,0.0,0.001114,0.001006,0.0,0.0,0.031244,0.005456,0.0,0.0,0.021777,0.004523,0.150394,0.011293000000000001,0.0,0.0,0.159832,0.011561,0.0,0.0,0.0,0.0,0.016891999999999997,0.004007,0.0031609999999999997,0.001738,0.0,0.0,0.549554,0.01573,0.0,0.0,0.0,0.0,0.0,0.0,0.030973,0.005436,0.004,0.001997,0.002187,0.0014199999999999998,0.014309,0.003706,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77088,1.0,0.35375900000000005,0.5817269999999999,0.0,0.189634
21.6,0.0402,0.0063,2.1153,0.0,0.0,0.001,0.001,0.0,0.0,0.011,0.0033,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.030801,0.005378,0.0,0.0,0.020089,0.004357,0.151911,0.011325,0.0,0.0,0.158916,0.011564,0.0,0.0,0.0,0.0,0.017246,0.004093,0.003,0.00173,0.0,0.0,0.551343,0.015706,0.0,0.0,0.0,0.0,0.0,0.0,0.029720999999999997,0.005324000000000001,0.0038380000000000003,0.0019210000000000002,0.004,0.001997,0.013134999999999999,0.003535,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.773144,1.0,0.355162,0.584478,0.0,0.192995
21.7,0.0409,0.0064,2.0998,0.0,0.0,0.0019089999999999999,0.001351,0.0,0.0,0.011431,0.003327,0.0,0.0,0.001592,0.0011619999999999998,0.0,0.0,0.029870999999999998,0.005288,0.0,0.0,0.017686,0.00402,0.154378,0.011375,0.0,0.0,0.160363,0.011545999999999999,0.0,0.0,0.0,0.0,0.016631,0.003945000000000001,0.0037649999999999997,0.001761,0.0,0.0,0.552367,0.015725,0.0,0.0,0.0,0.0,0.0,0.0,0.028391000000000003,0.005143,0.002208,0.001428,0.004,0.001997,0.013408000000000002,0.0036060000000000003,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775407,1.0,0.356559,0.5867070000000001,0.0,0.194413
21.8,0.0376,0.0063,2.0886,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.010688,0.00318,0.0,0.0,0.001,0.001,0.0,0.0,0.02875,0.005225,0.0,0.0,0.019161,0.004239,0.156,0.011479999999999999,0.0,0.0,0.161025,0.011574,0.0,0.0,0.0,0.0,0.01402,0.003662,0.0038640000000000002,0.0019329999999999998,0.0,0.0,0.553408,0.015709,0.0,0.0,0.0,0.0,0.0,0.0,0.027785,0.005144,0.0023,0.001444,0.003442,0.0017850000000000001,0.014,0.0037170000000000003,0.0,0.0,0.002,0.0014140000000000001,0.0,0.0,0.000558,0.000558,0.0,0.0,0.0,0.0,0.7773130000000001,1.0000010000000001,0.35720599999999997,0.587096,0.0,0.19287200000000002
21.9,0.0343,0.0059,2.0777,0.0,0.0,0.0017059999999999998,0.001224,0.0,0.0,0.010709999999999999,0.003225,0.0,0.0,0.001,0.001,0.0,0.0,0.029499,0.005328,0.0,0.0,0.016338,0.00391,0.157073,0.011489,0.0,0.0,0.161188,0.011590999999999999,0.0,0.0,0.0,0.0,0.013,0.0035840000000000004,0.003,0.00173,0.0,0.0,0.553782,0.015709,0.0,0.0,0.0,0.0,0.0,0.0,0.030602999999999998,0.005351,0.0021219999999999998,0.001419,0.003176,0.0017350000000000002,0.013137000000000001,0.003549,0.0,0.0,0.0033810000000000003,0.0017170000000000002,0.0,0.0,0.00028399999999999996,0.00028399999999999996,0.0,0.0,0.0,0.0,0.7752840000000001,0.9999990000000001,0.353765,0.587176,0.0,0.192746
