,Proliferation_0.5,Proliferation_1,Proliferation_3,Proliferation_6,Proliferation_24,Quiescence_1,Quiescence_6,Quiescence_24,Quiescence_96,Senescence_1,Senescence_6,Senescence_24,Senescence_96
Keratin 18 (Ab-33),0.9374503601685761,0.7437275101545343,0.8743456563302218,1.3499876106741437,1.1760887865985992,1.3251080172467757,0.7632434603294743,0.9070046464654804,0.7905926372535111,1.2119679366761678,1.1073227003612065,1.5177284290862838,0.840601355791634
Keratin 8 (Ab-73),1.1953898107418428,0.9679671652193177,0.8848389342514988,0.9024043051642286,1.2451545728036115,0.9993849223225749,1.1076966486374782,0.9862949833585734,1.0790194539747426,1.2360771517170344,1.2396313199506834,1.1944202029017126,0.9848971170346849
MEF2A (Ab-408),0.9560597028927992,0.7499600146375734,0.7086338149217337,0.710291363504329,1.083384405512623,1.1322335271043173,0.9557750016943947,0.9996562649565206,1.3891372871030117,0.9298970414158392,1.0322369398886067,0.8795117703273525,1.0566609952960213
Myc (Ab-62),0.8264670839360433,0.8105492219657447,0.7691479282240399,0.7934625686696377,1.1636226264902159,1.2530161426523196,1.041654369416697,0.9054272083299156,0.8579655989591399,0.8979962470719894,0.7968675081138311,0.7454558530794717,0.7988601316979924
Opioid Receptor (Ab-375),1.238327663139179,0.8859515749612714,0.6448114063819543,1.054326268193628,1.219838084181405,1.2055856458504164,0.7732344876988441,1.110057361250462,1.1512151202359346,0.9366448287123583,0.8037857795081864,1.1769867238957767,0.8582924965157578
PKC zeta (Ab-410),1.3992833402848275,1.1184126543943516,0.9506334310637353,1.037750180946962,1.4003236761116415,1.1402701348466888,1.1517555828444082,1.1874498650915188,1.1199509189640766,1.9831869753489608,1.1724071836245429,1.3821775979430473,1.1639573546353206
Shc (Ab-349),1.7775236048828145,1.6037926667998281,1.0979586092703513,0.7314344979319964,1.351696521568915,0.9949582043621438,1.677001078626994,1.685911050014186,1.633827663761597,1.0467484194604728,0.2603288451212704,1.498983449315008,2.166376306300924
LKB1 (Phospho-Ser428),1.1510347268053167,1.0784816076728994,0.7727978030434255,0.6286180399542058,0.8801445262556924,0.9115853813212883,0.9632224637545198,0.9708813177147425,1.0131935896804687,0.8000652556855848,0.8631296035141958,0.9051834908188898,0.9368343124903191
LKB1 (Phospho-Thr189),1.0275347609511727,0.8892960078238041,1.2653396215196286,1.0365654388182837,1.1263791374122367,0.9191479319058553,0.9198225047635744,1.1884766090000476,0.931485905083672,1.0233790856567089,1.0969665155820534,0.8946171379306459,0.9956780380254192
MAPKAPK2 (Phospho-Thr222),0.9159020879211611,1.0781795782114512,0.9847437817547076,1.0116289644261902,1.0652085372929692,1.0000088069430024,0.9791666573321296,0.8128161717076535,0.665454096539237,1.022551909992549,1.030126802931101,1.224555481371507,1.0508882326377456
MEK1 (Phospho-Ser298),1.0606810824282702,1.1922856009491551,0.6904262970724159,0.7665625796533957,0.7775397730609571,0.5448171235259465,0.9448496706571093,0.7884529290586473,0.5945594163402033,0.7675321317017524,0.7119796644571958,0.7520423499751524,0.8134144574822542
MEK1 (Phospho-Thr286),2.339162472962123,1.198849999263764,0.7625846419970145,2.0828472658298325,0.9560748789208104,2.2937955261185627,2.4332568400233283,1.0320432245998727,4.459047508150909,1.1116208967474552,1.050823929932595,1.1567642562394354,4.045837131220362
MSK1 (Phospho-Ser360),0.7638948174683087,0.3365595877268862,0.4392741604644585,0.5192795032929574,0.6122757637010435,1.1779486262590142,0.5773968966666807,0.5240313766529014,0.3131534377180063,0.7093093254863407,0.6226314469551256,0.30917761579321873,0.7016688012319673
MSK1 (Phospho-Thr581),1.2832888592583065,1.1861800298705796,0.8380791234967845,1.1850634948772172,1.163373982547242,1.2184257625786499,1.0249991035658519,1.092699834665245,1.0397214238668342,1.1232094543633322,1.1145417930787476,1.0470122138282778,1.0310652884263112
mTOR (Phospho-Ser2481),1.8127926839870578,1.4833295218869025,1.0275438000822252,0.6521441423950464,1.102580154537677,0.8670623033926689,0.8906041635546382,0.7702220157784342,1.1589953853828885,1.0142218789565411,3.5224103160312983,1.7921564646679802,1.122396299980845
p53 (Phospho-Thr81),1.036845217852114,0.8503715112095085,0.6902503047075345,0.9260623794639888,1.0225933205459123,1.0387070155416953,0.910902302525121,1.1573998371575986,1.0343421052631578,1.897824393210653,0.8000972647333275,0.8425020119478752,1.2834470101034046
p63 (Phospho-Ser455),1.041693988197099,0.9655733000829884,1.0543031861632857,1.0467588550392903,1.1609504646384212,1.131148219807431,0.9006548308886788,0.9100192279192428,0.941394312393888,1.0292766692652915,0.9705445641688807,0.9980100092006581,1.0118229963668834
PAK2 (Phospho-Ser20),1.1273163260798067,1.2048462957776642,1.1776677038269174,0.9384293495187119,1.328522794972907,1.0738443681664787,0.9852414252886607,0.9162803435780026,0.9152903530484628,0.9677215435456021,0.9057803720791351,0.9906595908888642,0.8244881691558986
PEA-15 (Phospho-Ser104),1.0227027966214668,0.959679486857252,0.9127057173157859,0.8471531886335291,1.132212594176427,0.976636203108871,0.9436185100863638,1.143905500833553,1.0066644140562886,0.9477242066115322,0.9824290445031365,0.9744623884042227,0.9274399282592226
PKC alpha/beta II (Phospho-Thr638),1.0882023080766992,1.0146738620597717,0.8227257095728177,0.96695674573112,1.0694055929191502,1.0565630381201032,1.0636766343856545,0.9177129674650816,0.9207793221927222,0.9990502900491718,0.9510478520751324,1.039797480523233,1.010854524609994
PKC delta (Phospho-Thr505),1.0103864520001045,0.850683072072861,0.9383248003276673,0.9287352250413891,1.2518799577740913,0.9863206200733373,0.8908128487407632,0.8408696703473845,0.9487950138504155,1.2044965450857712,1.0208102824180716,1.114034594914252,0.7983448843752144
PKC delta (Phospho-Tyr313),0.9765602994019857,0.8267931029405269,0.8461789316118996,0.9414615041010934,1.1139731724015518,0.9361753814687238,0.8240895605649516,0.8705308379297728,0.87742547741034,1.000296526649827,0.959082432049784,0.9931074127473402,0.9264286785660717
PKC theta (Phospho-Thr538),1.1329345165397258,1.1990420534107884,0.9433690910168755,1.6496928173378294,1.0740832443117716,0.8074998897673582,0.8513436431949256,1.3891865116419704,0.9490479246897732,1.0453120981709023,1.1272889747759454,1.8025682182985554,1.1512507060254062
PKD1/PKC mu (Phospho-Ser910),1.205639609785227,0.9030178945870884,0.8322687471123436,1.1719453229740864,0.8809977524738765,1.020603511514548,0.8205898957190486,0.8215186414432673,1.0381872432009391,0.9789189464815135,0.8659590845639457,0.8956301428511757,0.9321003959810589
PLC beta3 (Phospho-Ser537),1.1734444357464477,0.8851037744110692,0.9824572111594314,1.101107560415303,1.3714076978501653,1.1287891540839305,0.9318346487038992,0.977544934311276,1.0429832256078795,1.3143081959198017,1.0781982540020518,0.9712522176227085,0.9298611587639242
Ras-GRF1 (Phospho-Ser916),1.2332071234610658,0.9538678436768775,0.8590399355401319,0.9453251660321317,1.074556399674036,1.0598099087380413,1.0703391453582036,1.0965410174635064,1.1910136579982065,1.2016833411376764,1.1118506389433707,1.0749260017376705,1.2185225752322626
MDM4 (Phospho-Ser367),1.115060343246786,0.9701114580721629,0.8337897453102023,0.786621037969356,1.09051379675786,1.71998102651145,1.1046190681791421,1.0294971574818017,0.8511562725306417,1.1072949008169073,0.9799311793719488,1.0500577189472065,1.7930774588773197
MEF2C (Phospho-Ser396),1.5663725004131548,1.5353272323904605,1.4205645838101777,1.0720665691294806,1.4361957975167146,1.4867139479905438,1.3568242597898759,1.2439561000510464,1.3963618421052633,1.354543871108208,1.4235405173470639,1.4681542602996256,1.7032898739678402
MKP-1/2 (Phospho-Ser296/318),1.2157331894954078,1.3004838971376578,1.024712613244627,0.8112970161174139,0.9437957124151496,0.8599659708478811,1.0194716398121921,0.7077959059378834,0.8256937455972628,1.2082537688285317,1.2027317151382135,0.9861564655079812,0.949035376588282
SREBP-1 (Phospho-Ser439),0.9394079366123822,1.0447687931415228,1.1585297080223254,1.0892253772276304,0.9124752907688195,0.8939097656564793,0.8752659183927045,0.7604435608019592,0.8543467736357978,1.0139946150129044,0.8401500319695104,0.9585766436829128,0.8831051573874353
PLCG1 (Phospho-Tyr771),1.3586444218227902,1.1565123216729514,1.0889903448313223,1.3426048488678615,1.4523734762042013,1.2009183076478733,1.22465471931639,1.3727511621374267,1.2616700404858299,1.1189244760163717,1.2405248187747409,1.712573133435277,1.2025057281500968
LYN (Phospho-Tyr507),1.016387047544432,1.1242072540279233,0.994304240406832,1.078439164190607,1.13985685143915,2.0714356594577246,0.7606107986369051,0.6928560174944386,1.034950184102231,1.3034096437681606,1.5976885716577598,1.128088731677995,1.1508308250304486
p130Cas (Phospho-Tyr410),0.8525501983143283,1.035827967879621,0.8818227108979271,1.0849249387742121,1.135836084464931,0.8307003999564674,1.059326725426685,1.0070847759504629,0.8341792405606407,1.1291630576775624,1.102133536946128,1.1974006358390328,0.8792833456153281
PLCG1 (Phospho-Tyr783),0.974808608433665,0.9459937172716599,0.9224147631802353,0.8915685789990042,0.8781592893216165,0.924469410620578,0.9513392300984179,0.8534068385173653,0.84197819486006,0.9616553327114767,0.9800579595341096,0.979845035887415,1.0001733287403036
PLCG2 (Phospho-Tyr753),0.9905022679521902,0.820577260477267,0.9380145911189928,1.1687893108927523,1.032570239572747,1.016526195507929,0.8027666832606487,0.6588492846344457,0.6962259281109098,1.1986299686385296,1.0707422870992638,1.1674659952681246,0.9518707534476081
ATF1 (Phospho-Ser63),1.1542966317086791,1.0166666205243062,1.2214661685776624,0.90488785455112,1.2014417232024943,0.9260910580821701,0.9369532155099667,0.8198166404639536,0.9182951659514843,1.4059911034407055,1.0322051209244858,0.9618321056665857,0.9086962841157826
CD19 (Phospho-Tyr531),0.9419903790751585,1.1618933052377312,0.7806419570667682,1.1313958644609705,0.8249405361153211,1.1888019612675431,1.0599988936951688,0.9100093420920373,0.7941556594188173,1.029742591336321,1.0917109827738736,1.1744097327664744,1.176404584879161
Fyn (Phospho-Tyr530),1.0241342876362691,0.9551119825565777,1.0905207784387978,1.3703996392603273,1.257827512786629,1.101669980725982,0.9024668416707351,0.9442544053179384,0.8126314615709659,1.1516264229416326,1.148791059314652,1.346499163066684,0.9430093032506133
ATPase (Phospho-Ser16),1.0320115952836826,0.9233944535037278,1.0384173169840911,1.2418287248635838,1.2833582043299372,0.6259689559259113,0.9894225955785247,0.9771985435198609,1.1481762851388035,1.1496906418759938,1.1964508092739878,1.2583860700330909,0.9050420095147809
CBL (Phospho-Tyr774),0.7543948509739289,0.8610491523137114,0.9049598007254221,1.2648246637273703,1.3039195642634038,1.2248591520181007,0.7108071968816955,0.762269773602086,1.017036510194405,0.8240395195979782,1.1981286177681911,1.3704999240813849,1.0644737305754255
CBL (Phospho-Tyr700),0.5600276633649761,0.5288355884846012,0.79937716981281,0.4858489376172909,1.76485096371639,2.941475043761327,0.9052450257544093,0.546584454312761,0.9781978735061467,1.6402506940705364,0.8921436011507733,1.0528663747413975,0.9392634867530935
FGFR1 (Phospho-Tyr766),1.6035992353503774,1.2826310265287275,1.4347634842278982,1.7333997492411952,2.054177146019714,1.7411332217431525,1.4066904393271729,1.0585533385503056,1.3782798224166775,1.8499095306613602,1.2996481339770571,1.1916121809840388,1.0739457384851276
FGFR1 (Phospho-Tyr654),0.6249705317089076,0.5617585540087892,0.5067147594389924,0.3788626770322645,0.6574322574011126,1.9580744621828583,0.7472587556678748,1.087605567339571,0.6444880316733863,0.6416292413651343,0.5890302147477899,0.49853637921542165,0.6696775549023153
Lamin A/C (Phospho-Ser392),1.0781008684140123,0.8210497737352662,0.8516892806507596,0.871008722380079,1.225234299371645,1.0962382734681044,1.074912168047599,1.0001824815626228,1.211017621066885,1.029492939197899,0.9904638065639547,1.0144785588765566,0.7365338493139922
MITF (Phospho-Ser73),0.6180362118499306,0.6507294974169688,0.5850145077316266,0.6668914494174922,0.7138098872636729,1.201739073405075,0.574701267501658,0.9413593291292457,0.8026959319696622,0.5996183674226111,0.7373029192918666,0.7428214390854228,0.7192857102190239
4E-BP1 (Ab-65),2.513024916608484,2.252373299010667,1.3928484114028008,1.8241076153770597,0.6172065785275012,3.654398373002038,3.5637692084947625,3.537240089454779,0.7386042762216161,0.6562298806813963,2.5705822405068632,0.6651259983852135,0.9955186961742445
4E-BP1 (Ab-70),0.6649215583839674,0.7988907723022529,0.9449887480201277,0.5798268912946234,0.7255547660935411,0.9949455349271953,0.9438241500208501,0.6466536515749632,0.7591205332193693,0.6143869911481679,0.7605130941745447,0.9713714742892434,0.724299594370207
Abl1 (Ab-204),4.079350308111881,6.850276756714256,5.750225505333155,2.863951723498684,0.4713723912857345,9.698225399307624,0.5849668764722398,5.289929659478659,5.184717243943772,0.4730333360718875,0.5646608859165289,0.5683131817507476,12.889708043063127
ACC1 (Ab-79),1.2037598362635547,1.7631468919322497,1.6002277115575354,1.9926809596158537,1.7729060318859746,0.935082528374143,1.9167978840643596,1.0283252837004753,1.4223151147098516,1.6904526955735317,1.7325638196546618,1.9622572745606455,1.0661986427305854
AKT1 (Ab-450),0.7921488486079705,0.8712315517497937,0.6687173303410763,0.808149112946872,0.7471493465650988,0.6818041522092317,0.7586600507838889,0.7689961279398398,0.7394164527171587,0.9344766426109721,0.7783570597750847,0.9033907691605007,0.979668436840822
AKT1 (Ab-124),0.7710731163625806,0.7168359639305335,0.7122785563716466,0.6098270897685113,0.7694655537560733,1.1005610167013968,0.812259359954272,0.8538297568178346,0.825735294117647,0.7391354463007479,0.8281516165959164,0.8672842610419839,0.8294331053661756
AMPK beta1 (Ab-182),1.1304944376956345,1.0619930131306663,0.7189813616602451,0.7937368409038783,0.8606206652843827,1.0212375424704356,0.8948064305998459,0.9592169754863256,0.9641381383436302,0.9299632750787828,0.8966143811065928,0.8949647415563384,1.3934406062872076
Chk2 (Ab-387),0.9319262586158847,1.1029301774373659,0.7954632432457861,0.9587918463619349,1.0239911812378528,1.0538161531225916,0.9359986787220477,1.008185223352178,0.7183481491933587,0.9737492477479134,1.0223985648931935,0.9486035384723519,1.4628375819814905
Cyclin D1 (Ab-286),0.6146541650469022,0.6125854427942624,0.46295828424213004,0.5037808720817085,0.8226270911966578,0.8659667463054267,0.8427795545890332,0.8214953729030624,0.6113672753164328,0.7084225821149345,0.7321013006035902,0.8866464431821163,1.2672776047103005
Cyclin D3 (Ab-283),0.7790185673565887,0.5211673822373832,0.6674574963224899,0.5520156728381149,0.5598977045103278,1.1614253401876877,0.7074472172283436,0.7687850421877768,0.5149780477293541,0.7811817457966943,0.7211988271622831,0.4931924430439433,0.6916104297139287
Interferon-alpha/beta receptor alpha chain (Phospho-Tyr466),0.9926080801871872,1.1977900081061479,1.148336680306575,0.9887821202421658,1.0968550523581706,0.9850561064578586,0.9599908378603811,0.9000829216125135,0.9895451297928078,1.226937903735076,0.9842696803733516,1.096698273086244,1.0423483002668523
