Time	TH	ErrTH	H	Prob[Insulin--mTORC1_S6K1]	ErrProb[Insulin--mTORC1_S6K1]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Insulin--p21--mTORC1_S6K1--Senescence]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence]	Prob[Insulin--AKT]	ErrProb[Insulin--AKT]	Prob[Insulin--p21]	ErrProb[Insulin--p21]	Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--Senescence--AKT]	ErrProb[Insulin--Senescence--AKT]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[Insulin--p21--Senescence--AKT]	ErrProb[Insulin--p21--Senescence--AKT]	Prob[p21]	ErrProb[p21]	Prob[Insulin--p21--mTORC1_S6K1--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--AKT]	Prob[AKT]	ErrProb[AKT]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[Senescence]	ErrProb[Senescence]	Prob[<nil>]	ErrProb[<nil>]	Prob[Insulin--p21--Senescence]	ErrProb[Insulin--p21--Senescence]	Prob[Insulin--Senescence]	ErrProb[Insulin--Senescence]	Prob[Insulin--mTORC1_S6K1--AKT]	ErrProb[Insulin--mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	Prob[Insulin--p21--AKT]	ErrProb[Insulin--p21--AKT]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[Insulin--p21--mTORC1_S6K1]	ErrProb[Insulin--p21--mTORC1_S6K1]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[Insulin]	ErrProb[Insulin]	Prob[Insulin--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--mTORC1_S6K1--Senescence]	ErrProb[Insulin--mTORC1_S6K1--Senescence]	
2.0000	0.1629	0.0054	3.4891	0.093807	0.004053	0	0	0	0	0.131020	0.004737	0.051373	0.003085	0.176768	0.005345	0.019162	0.001912	0	0	0	0	0.016843	0.001805	0	0	0	0	0.003397	0.000799	0	0	0.004280	0.000872	0	0	0	0	0	0	0	0	0.062219	0.003370	0.040105	0.002753	0.132528	0.004761	0	0	0	0	0	0	0.003951	0.000881	0	0	0.048045	0.002950	0	0	0.117511	0.004487	0.060252	0.003332	0.038739	0.002685	
2.1000	0.1572	0.0053	3.4720	0.090809	0.003998	0	0	0	0	0.133140	0.004762	0.049692	0.003032	0.182172	0.005408	0.018942	0.001880	0	0	0	0	0.015589	0.001723	0	0	0	0	0.002984	0.000758	0	0	0.004947	0.000952	0	0	0	0	0	0	0	0	0.059870	0.003309	0.037405	0.002631	0.137384	0.004828	0	0	0	0	0	0	0.004030	0.000886	0	0	0.051557	0.003055	0	0	0.115384	0.004444	0.059643	0.003305	0.036450	0.002602	
2.2000	0.1517	0.0052	3.4489	0.089842	0.003997	0	0	0	0	0.137248	0.004817	0.048916	0.003008	0.187896	0.005473	0.020197	0.001957	0	0	0	0	0.015402	0.001732	0	0	0	0	0.002441	0.000674	0	0	0.004978	0.000977	0	0	0	0	0	0	0	0	0.057217	0.003231	0.031964	0.002451	0.139396	0.004871	0	0	0	0	0	0	0.003846	0.000839	0	0	0.052039	0.003058	0	0	0.115197	0.004460	0.058898	0.003302	0.034523	0.002526	
2.3000	0.1476	0.0052	3.4203	0.088141	0.003946	0	0	0	0	0.141220	0.004878	0.047439	0.002962	0.191075	0.005513	0.018643	0.001867	0	0	0	0	0.014594	0.001665	0	0	0	0	0.002576	0.000689	0	0	0.004702	0.000932	0	0	0	0	0	0	0	0	0.055210	0.003181	0.029964	0.002388	0.143053	0.004922	0	0	0	0	0	0	0.002560	0.000696	0	0	0.054168	0.003107	0	0	0.115502	0.004466	0.059438	0.003303	0.031715	0.002436	
2.4000	0.1428	0.0051	3.3944	0.088726	0.003973	0	0	0	0	0.144417	0.004928	0.046159	0.002925	0.195317	0.005548	0.018870	0.001883	0	0	0	0	0.013639	0.001611	0	0	0	0	0.002513	0.000681	0	0	0.004157	0.000875	0	0	0	0	0	0	0	0	0.052631	0.003098	0.029288	0.002344	0.147448	0.004974	0	0	0	0	0	0	0.002008	0.000610	0	0	0.055562	0.003159	0	0	0.112110	0.004402	0.059465	0.003294	0.027690	0.002271	
2.5000	0.1356	0.0049	3.3618	0.087766	0.003959	0	0	0	0	0.147876	0.004987	0.044038	0.002853	0.202580	0.005631	0.017786	0.001833	0	0	0	0	0.012772	0.001549	0	0	0	0	0.002033	0.000606	0	0	0.003992	0.000863	0	0	0	0	0	0	0	0	0.050312	0.003042	0.027421	0.002264	0.153472	0.005067	0	0	0	0	0	0	0.002020	0.000604	0	0	0.055577	0.003167	0	0	0.107098	0.004305	0.059709	0.003306	0.025549	0.002190	
2.6000	0.1297	0.0048	3.3350	0.088003	0.003956	0	0	0	0	0.150169	0.005012	0.042741	0.002831	0.206102	0.005670	0.015498	0.001708	0	0	0	0	0.011652	0.001495	0	0	0	0	0.002352	0.000644	0	0	0.003455	0.000795	0	0	0	0	0	0	0	0	0.050023	0.003020	0.025035	0.002181	0.158428	0.005136	0	0	0	0	0	0	0.001891	0.000597	0	0	0.056253	0.003177	0	0	0.103983	0.004267	0.060074	0.003327	0.024341	0.002142	
2.7000	0.1195	0.0047	3.3093	0.085744	0.003901	0	0	0	0	0.153104	0.005051	0.041024	0.002769	0.210103	0.005706	0.015675	0.001724	0	0	0	0	0.009738	0.001363	0	0	0	0	0.002146	0.000643	0	0	0.003689	0.000832	0	0	0	0	0	0	0	0	0.048453	0.002985	0.022111	0.002030	0.163722	0.005199	0	0	0	0	0	0	0.002090	0.000620	0	0	0.056386	0.003166	0	0	0.102727	0.004238	0.059354	0.003307	0.023934	0.002108	
2.8000	0.1164	0.0046	3.2828	0.079511	0.003778	0	0	0	0	0.156628	0.005096	0.039310	0.002721	0.213286	0.005745	0.015223	0.001696	0	0	0	0	0.009106	0.001339	0	0	0	0	0.002200	0.000663	0	0	0.003658	0.000828	0	0	0	0	0	0	0	0	0.047202	0.002946	0.018876	0.001891	0.169424	0.005285	0	0	0	0	0	0	0.001978	0.000613	0	0	0.061942	0.003318	0	0	0.101239	0.004211	0.058088	0.003275	0.022331	0.002049	
2.9000	0.1159	0.0046	3.2618	0.075589	0.003694	0	0	0	0	0.157379	0.005100	0.037135	0.002630	0.213919	0.005750	0.015335	0.001698	0	0	0	0	0.008298	0.001269	0	0	0	0	0.002054	0.000620	0	0	0.002874	0.000726	0	0	0	0	0	0	0	0	0.047353	0.002946	0.017237	0.001816	0.175631	0.005345	0	0	0	0	0	0	0.001981	0.000605	0	0	0.064861	0.003404	0	0	0.101323	0.004220	0.056804	0.003241	0.022228	0.002052	
