,input,interaction,output,Senescence,Quiescence,Proliferation
54,NFKBIE,inhibit,NFKB1,10.20835422360002,-10.20835422360002,-10.20835422360002
55,PDK1,activate,AKT1,10.635988805999977,-10.635988805999977,10.635988805999977
56,PDK1,activate,IKBKB,8.219922487400005,-8.219922487400005,8.219922487400005
57,PDK1,activate,SGK1,8.682422287399998,-8.682422287399998,8.682422287399998
58,PIK3CA,activate,PDK1,11.213368756840337,-11.092215913128976,11.213368756840337
59,PTEN,inhibit,PDK1,2.7120229222775944,-3.561572271424793,3.7216796487640726
60,RB1,inhibit,E2F1,-10.267143160199991,-10.267143160199991,10.267143160199991
61,RHEB,activate,MTOR,-2.4202862843076005,-4.803127914427601,-2.253487370199201
62,ROS,activate,MAP2K3/MAP2K6,2.0114798859360006,1.5555444451238403,-4.462132880301361
63,SGK1,inhibit,FOXO3,-4.478818713968405,0.041121518414400274,-4.478818713968405
64,SIRT1,activate,FOXO3,1.3250718307903975,2.450522450708476,1.2803291455948786
65,SIRT1,inhibit,NFKB1,-1.1737138570695995,-2.1706084837235196,-1.1340819605971204
66,SIRT1,activate,PPARGC1A,1.343994825157601,2.4855177026291226,1.298613181710722
67,SIRT1,inhibit,TP53,-1.321035630376,-2.443058100851201,-1.276429232467201
68,SIRT1,activate,TSC2,1.3448051499651974,2.487016277338236,1.2993961449014386
69,SOD2,inhibit,ROS,-1.878926466576477,-3.810631766483754,-0.770570966629678
70,TP53,activate,CDKN1A,8.843192824799994,8.843192824799994,-8.843192824799994
71,TP53,inhibit,IGF1R,-8.088936679999994,-8.088936679999994,8.088936679999994
72,TP53,activate,MDM2,4.7829807246000176,4.7829807246000176,-4.7829807246000176
73,TP53,activate,PTEN,8.837120787199986,8.837120787199986,-8.837120787199986
74,TSC2,inhibit,RHEB,0.6784489891065609,-6.709106670053769,1.2851044343923217
75,E2F1,inhibit,IKBKB,10.541440550799974,10.541440550799974,-10.541440550799974
76,TP53,activate,AMPK,7.283478579600018,7.283478579600018,-7.283478579600018
